FIPS,year,city,baseline,current,food_desert,food_desert_rank
01073,2021,Birmingham,1,1,27.451983830133386,3
18097,2021,Indianapolis,1,1,28.321549433065684,2
21111,2021,Louisville,1,1,21.359956465910848,12
26081,2021,Grand Rapids,0,1,20.364959186893355,14
29095,2021,Kansas City,1,1,21.666261183181607,11
31055,2021,Omaha,1,1,14.984933947007328,17
37081,2021,Greensboro,1,1,26.518958948011463,4
37119,2021,Charlotte,1,1,20.539132006558866,13
39049,2021,Columbus,1,1,19.615920560682312,15
39061,2021,Cincinnati,1,1,24.71360379436592,6
40109,2021,Oklahoma City,0,1,21.836027213908725,10
40143,2021,Tulsa,0,1,22.347934363219917,9
45045,2021,Greenville,0,1,23.44903496993382,8
47037,2021,Nashville,1,1,24.66503151783363,7
47093,2021,Knoxville,0,1,26.08538879153749,5
47157,2021,Memphis,1,1,29.62074069272596,1
MERGED,2021,St. Louis,0,1,16.52033593762695,16
