GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",840,120,261,89,579,110
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",964,85,396,90,568,128
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",1804,116,1063,118,741,122
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",679,68,193,45,486,71
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",1107,107,516,113,591,119
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",762,68,478,74,284,72
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",797,83,390,69,407,88
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",937,100,419,104,518,106
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",1263,137,743,128,520,136
1400000US21111001200,21111001200,"Census Tract 12, Jefferson County, Kentucky",1209,100,591,116,618,110
1400000US21111001400,21111001400,"Census Tract 14, Jefferson County, Kentucky",1077,79,333,93,744,122
1400000US21111001500,21111001500,"Census Tract 15, Jefferson County, Kentucky",1183,141,490,107,693,140
1400000US21111001600,21111001600,"Census Tract 16, Jefferson County, Kentucky",928,96,480,94,448,100
1400000US21111001700,21111001700,"Census Tract 17, Jefferson County, Kentucky",813,82,383,80,430,84
1400000US21111001800,21111001800,"Census Tract 18, Jefferson County, Kentucky",563,67,162,48,401,65
1400000US21111002100,21111002100,"Census Tract 21, Jefferson County, Kentucky",857,79,256,51,601,76
1400000US21111002300,21111002300,"Census Tract 23, Jefferson County, Kentucky",885,75,294,53,591,80
1400000US21111002400,21111002400,"Census Tract 24, Jefferson County, Kentucky",2152,191,434,159,1718,241
1400000US21111002700,21111002700,"Census Tract 27, Jefferson County, Kentucky",1018,129,183,57,835,136
1400000US21111002800,21111002800,"Census Tract 28, Jefferson County, Kentucky",716,58,290,54,426,67
1400000US21111003000,21111003000,"Census Tract 30, Jefferson County, Kentucky",1382,95,0,11,1382,95
1400000US21111003500,21111003500,"Census Tract 35, Jefferson County, Kentucky",1169,75,118,52,1051,82
1400000US21111003600,21111003600,"Census Tract 36, Jefferson County, Kentucky",1979,147,799,156,1180,203
1400000US21111003700,21111003700,"Census Tract 37, Jefferson County, Kentucky",713,72,209,47,504,66
1400000US21111003800,21111003800,"Census Tract 38, Jefferson County, Kentucky",1317,111,514,125,803,150
1400000US21111003900,21111003900,"Census Tract 39, Jefferson County, Kentucky",1263,118,716,96,547,118
1400000US21111004000,21111004000,"Census Tract 40, Jefferson County, Kentucky",664,75,290,49,374,83
1400000US21111004100,21111004100,"Census Tract 41, Jefferson County, Kentucky",1171,116,337,87,834,140
1400000US21111004301,21111004301,"Census Tract 43.01, Jefferson County, Kentucky",1816,106,297,97,1519,129
1400000US21111004302,21111004302,"Census Tract 43.02, Jefferson County, Kentucky",494,55,147,41,347,61
1400000US21111004400,21111004400,"Census Tract 44, Jefferson County, Kentucky",1804,131,1084,93,720,132
1400000US21111004500,21111004500,"Census Tract 45, Jefferson County, Kentucky",1154,131,581,124,573,128
1400000US21111004600,21111004600,"Census Tract 46, Jefferson County, Kentucky",1550,98,983,121,567,121
1400000US21111004900,21111004900,"Census Tract 49, Jefferson County, Kentucky",1541,142,129,53,1412,134
1400000US21111005000,21111005000,"Census Tract 50, Jefferson County, Kentucky",1090,78,87,38,1003,84
1400000US21111005100,21111005100,"Census Tract 51, Jefferson County, Kentucky",2156,160,260,90,1896,175
1400000US21111005200,21111005200,"Census Tract 52, Jefferson County, Kentucky",2027,116,349,93,1678,135
1400000US21111005300,21111005300,"Census Tract 53, Jefferson County, Kentucky",821,90,44,24,777,91
1400000US21111005600,21111005600,"Census Tract 56, Jefferson County, Kentucky",1417,158,292,67,1125,150
1400000US21111005900,21111005900,"Census Tract 59, Jefferson County, Kentucky",2523,191,225,94,2298,202
1400000US21111006200,21111006200,"Census Tract 62, Jefferson County, Kentucky",680,79,216,58,464,85
1400000US21111006300,21111006300,"Census Tract 63, Jefferson County, Kentucky",810,70,492,67,318,69
1400000US21111006400,21111006400,"Census Tract 64, Jefferson County, Kentucky",951,65,408,59,543,77
1400000US21111006500,21111006500,"Census Tract 65, Jefferson County, Kentucky",1196,109,277,70,919,111
1400000US21111006600,21111006600,"Census Tract 66, Jefferson County, Kentucky",944,99,280,71,664,95
1400000US21111006800,21111006800,"Census Tract 68, Jefferson County, Kentucky",963,87,603,94,360,93
1400000US21111006900,21111006900,"Census Tract 69, Jefferson County, Kentucky",1049,72,629,84,420,91
1400000US21111007000,21111007000,"Census Tract 70, Jefferson County, Kentucky",946,41,756,72,190,62
1400000US21111007100,21111007100,"Census Tract 71, Jefferson County, Kentucky",2129,176,946,164,1183,204
1400000US21111007400,21111007400,"Census Tract 74, Jefferson County, Kentucky",1198,85,659,90,539,103
1400000US21111007501,21111007501,"Census Tract 75.01, Jefferson County, Kentucky",2067,115,2010,117,57,37
1400000US21111007502,21111007502,"Census Tract 75.02, Jefferson County, Kentucky",2196,130,2039,140,157,77
1400000US21111007601,21111007601,"Census Tract 76.01, Jefferson County, Kentucky",998,68,467,80,531,101
1400000US21111007602,21111007602,"Census Tract 76.02, Jefferson County, Kentucky",1982,111,619,107,1363,159
1400000US21111007603,21111007603,"Census Tract 76.03, Jefferson County, Kentucky",1335,67,483,78,852,87
1400000US21111007700,21111007700,"Census Tract 77, Jefferson County, Kentucky",1572,76,1001,108,571,103
1400000US21111007800,21111007800,"Census Tract 78, Jefferson County, Kentucky",1479,85,1014,103,465,109
1400000US21111007900,21111007900,"Census Tract 79, Jefferson County, Kentucky",966,35,539,73,427,67
1400000US21111008100,21111008100,"Census Tract 81, Jefferson County, Kentucky",1634,110,711,82,923,115
1400000US21111008200,21111008200,"Census Tract 82, Jefferson County, Kentucky",2255,153,835,123,1420,170
1400000US21111008300,21111008300,"Census Tract 83, Jefferson County, Kentucky",1279,93,709,94,570,122
1400000US21111008400,21111008400,"Census Tract 84, Jefferson County, Kentucky",1374,69,831,86,543,100
1400000US21111008500,21111008500,"Census Tract 85, Jefferson County, Kentucky",1095,54,506,66,589,69
1400000US21111008700,21111008700,"Census Tract 87, Jefferson County, Kentucky",1596,32,1409,59,187,51
1400000US21111008800,21111008800,"Census Tract 88, Jefferson County, Kentucky",1521,71,967,116,554,119
1400000US21111008900,21111008900,"Census Tract 89, Jefferson County, Kentucky",1633,84,1281,93,352,70
1400000US21111009000,21111009000,"Census Tract 90, Jefferson County, Kentucky",2547,209,1268,184,1279,225
1400000US21111009103,21111009103,"Census Tract 91.03, Jefferson County, Kentucky",579,43,319,49,260,59
1400000US21111009105,21111009105,"Census Tract 91.05, Jefferson County, Kentucky",1130,109,496,86,634,117
1400000US21111009106,21111009106,"Census Tract 91.06, Jefferson County, Kentucky",1899,74,1231,121,668,109
1400000US21111009300,21111009300,"Census Tract 93, Jefferson County, Kentucky",2209,102,1719,137,490,101
1400000US21111009400,21111009400,"Census Tract 94, Jefferson County, Kentucky",2829,93,2051,179,778,169
1400000US21111009600,21111009600,"Census Tract 96, Jefferson County, Kentucky",1985,115,1748,120,237,93
1400000US21111009700,21111009700,"Census Tract 97, Jefferson County, Kentucky",1214,77,888,104,326,92
1400000US21111009800,21111009800,"Census Tract 98, Jefferson County, Kentucky",1287,76,996,85,291,61
1400000US21111009900,21111009900,"Census Tract 99, Jefferson County, Kentucky",1376,73,1033,93,343,80
1400000US21111010001,21111010001,"Census Tract 100.01, Jefferson County, Kentucky",2089,91,1977,102,112,38
1400000US21111010004,21111010004,"Census Tract 100.04, Jefferson County, Kentucky",2159,134,561,115,1598,141
1400000US21111010005,21111010005,"Census Tract 100.05, Jefferson County, Kentucky",1778,107,1374,108,404,85
1400000US21111010006,21111010006,"Census Tract 100.06, Jefferson County, Kentucky",1602,71,1154,69,448,72
1400000US21111010007,21111010007,"Census Tract 100.07, Jefferson County, Kentucky",1603,103,1465,109,138,55
1400000US21111010008,21111010008,"Census Tract 100.08, Jefferson County, Kentucky",1692,76,1083,76,609,61
1400000US21111010102,21111010102,"Census Tract 101.02, Jefferson County, Kentucky",1666,63,1617,68,49,24
1400000US21111010103,21111010103,"Census Tract 101.03, Jefferson County, Kentucky",1989,141,867,128,1122,125
1400000US21111010104,21111010104,"Census Tract 101.04, Jefferson County, Kentucky",1575,80,690,83,885,86
1400000US21111010307,21111010307,"Census Tract 103.07, Jefferson County, Kentucky",2245,97,2186,104,59,33
1400000US21111010309,21111010309,"Census Tract 103.09, Jefferson County, Kentucky",1895,68,1525,98,370,89
1400000US21111010311,21111010311,"Census Tract 103.11, Jefferson County, Kentucky",3163,123,2244,162,919,154
1400000US21111010312,21111010312,"Census Tract 103.12, Jefferson County, Kentucky",1425,89,1340,103,85,59
1400000US21111010313,21111010313,"Census Tract 103.13, Jefferson County, Kentucky",1885,131,1653,124,232,87
1400000US21111010314,21111010314,"Census Tract 103.14, Jefferson County, Kentucky",2178,86,1868,116,310,118
1400000US21111010315,21111010315,"Census Tract 103.15, Jefferson County, Kentucky",1403,65,793,71,610,93
1400000US21111010316,21111010316,"Census Tract 103.16, Jefferson County, Kentucky",1701,68,1518,83,183,67
1400000US21111010317,21111010317,"Census Tract 103.17, Jefferson County, Kentucky",1696,41,1616,57,80,45
1400000US21111010318,21111010318,"Census Tract 103.18, Jefferson County, Kentucky",2519,149,1383,97,1136,144
1400000US21111010319,21111010319,"Census Tract 103.19, Jefferson County, Kentucky",1873,99,1390,102,483,93
1400000US21111010320,21111010320,"Census Tract 103.20, Jefferson County, Kentucky",1400,109,797,80,603,122
1400000US21111010402,21111010402,"Census Tract 104.02, Jefferson County, Kentucky",2879,224,2144,242,735,145
1400000US21111010403,21111010403,"Census Tract 104.03, Jefferson County, Kentucky",1665,67,1359,97,306,86
1400000US21111010405,21111010405,"Census Tract 104.05, Jefferson County, Kentucky",2075,128,1276,155,799,143
1400000US21111010406,21111010406,"Census Tract 104.06, Jefferson County, Kentucky",2330,145,1646,126,684,147
1400000US21111010500,21111010500,"Census Tract 105, Jefferson County, Kentucky",1726,83,1066,105,660,98
1400000US21111010601,21111010601,"Census Tract 106.01, Jefferson County, Kentucky",1576,96,865,96,711,96
1400000US21111010602,21111010602,"Census Tract 106.02, Jefferson County, Kentucky",1882,131,411,66,1471,129
1400000US21111010701,21111010701,"Census Tract 107.01, Jefferson County, Kentucky",2272,170,1372,97,900,157
1400000US21111010702,21111010702,"Census Tract 107.02, Jefferson County, Kentucky",2461,107,1324,107,1137,130
1400000US21111010705,21111010705,"Census Tract 107.05, Jefferson County, Kentucky",2887,129,1744,124,1143,150
1400000US21111010706,21111010706,"Census Tract 107.06, Jefferson County, Kentucky",1419,125,1145,101,274,76
1400000US21111010800,21111010800,"Census Tract 108, Jefferson County, Kentucky",1485,80,946,97,539,87
1400000US21111010901,21111010901,"Census Tract 109.01, Jefferson County, Kentucky",2146,146,1225,161,921,173
1400000US21111010902,21111010902,"Census Tract 109.02, Jefferson County, Kentucky",1884,69,1426,119,458,119
1400000US21111011002,21111011002,"Census Tract 110.02, Jefferson County, Kentucky",2244,154,344,81,1900,170
