GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 1 to 4 years,Margin of Error; Total: - 1 to 4 years,Estimate; Total: - 5 to 17 years,Margin of Error; Total: - 5 to 17 years,Estimate; Total: - 18 and 19 years,Margin of Error; Total: - 18 and 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 29 years,Margin of Error; Total: - 25 to 29 years,Estimate; Total: - 30 to 34 years,Margin of Error; Total: - 30 to 34 years,Estimate; Total: - 35 to 39 years,Margin of Error; Total: - 35 to 39 years,Estimate; Total: - 40 to 44 years,Margin of Error; Total: - 40 to 44 years,Estimate; Total: - 45 to 49 years,Margin of Error; Total: - 45 to 49 years,Estimate; Total: - 50 to 54 years,Margin of Error; Total: - 50 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 to 69 years,Margin of Error; Total: - 65 to 69 years,Estimate; Total: - 70 to 74 years,Margin of Error; Total: - 70 to 74 years,Estimate; Total: - 75 years and over,Margin of Error; Total: - 75 years and over,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - 1 to 4 years,Margin of Error; Total: - Same house 1 year ago: - 1 to 4 years,Estimate; Total: - Same house 1 year ago: - 5 to 17 years,Margin of Error; Total: - Same house 1 year ago: - 5 to 17 years,Estimate; Total: - Same house 1 year ago: - 18 and 19 years,Margin of Error; Total: - Same house 1 year ago: - 18 and 19 years,Estimate; Total: - Same house 1 year ago: - 20 to 24 years,Margin of Error; Total: - Same house 1 year ago: - 20 to 24 years,Estimate; Total: - Same house 1 year ago: - 25 to 29 years,Margin of Error; Total: - Same house 1 year ago: - 25 to 29 years,Estimate; Total: - Same house 1 year ago: - 30 to 34 years,Margin of Error; Total: - Same house 1 year ago: - 30 to 34 years,Estimate; Total: - Same house 1 year ago: - 35 to 39 years,Margin of Error; Total: - Same house 1 year ago: - 35 to 39 years,Estimate; Total: - Same house 1 year ago: - 40 to 44 years,Margin of Error; Total: - Same house 1 year ago: - 40 to 44 years,Estimate; Total: - Same house 1 year ago: - 45 to 49 years,Margin of Error; Total: - Same house 1 year ago: - 45 to 49 years,Estimate; Total: - Same house 1 year ago: - 50 to 54 years,Margin of Error; Total: - Same house 1 year ago: - 50 to 54 years,Estimate; Total: - Same house 1 year ago: - 55 to 59 years,Margin of Error; Total: - Same house 1 year ago: - 55 to 59 years,Estimate; Total: - Same house 1 year ago: - 60 to 64 years,Margin of Error; Total: - Same house 1 year ago: - 60 to 64 years,Estimate; Total: - Same house 1 year ago: - 65 to 69 years,Margin of Error; Total: - Same house 1 year ago: - 65 to 69 years,Estimate; Total: - Same house 1 year ago: - 70 to 74 years,Margin of Error; Total: - Same house 1 year ago: - 70 to 74 years,Estimate; Total: - Same house 1 year ago: - 75 years and over,Margin of Error; Total: - Same house 1 year ago: - 75 years and over,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - 1 to 4 years,Margin of Error; Total: - Moved within same county: - 1 to 4 years,Estimate; Total: - Moved within same county: - 5 to 17 years,Margin of Error; Total: - Moved within same county: - 5 to 17 years,Estimate; Total: - Moved within same county: - 18 and 19 years,Margin of Error; Total: - Moved within same county: - 18 and 19 years,Estimate; Total: - Moved within same county: - 20 to 24 years,Margin of Error; Total: - Moved within same county: - 20 to 24 years,Estimate; Total: - Moved within same county: - 25 to 29 years,Margin of Error; Total: - Moved within same county: - 25 to 29 years,Estimate; Total: - Moved within same county: - 30 to 34 years,Margin of Error; Total: - Moved within same county: - 30 to 34 years,Estimate; Total: - Moved within same county: - 35 to 39 years,Margin of Error; Total: - Moved within same county: - 35 to 39 years,Estimate; Total: - Moved within same county: - 40 to 44 years,Margin of Error; Total: - Moved within same county: - 40 to 44 years,Estimate; Total: - Moved within same county: - 45 to 49 years,Margin of Error; Total: - Moved within same county: - 45 to 49 years,Estimate; Total: - Moved within same county: - 50 to 54 years,Margin of Error; Total: - Moved within same county: - 50 to 54 years,Estimate; Total: - Moved within same county: - 55 to 59 years,Margin of Error; Total: - Moved within same county: - 55 to 59 years,Estimate; Total: - Moved within same county: - 60 to 64 years,Margin of Error; Total: - Moved within same county: - 60 to 64 years,Estimate; Total: - Moved within same county: - 65 to 69 years,Margin of Error; Total: - Moved within same county: - 65 to 69 years,Estimate; Total: - Moved within same county: - 70 to 74 years,Margin of Error; Total: - Moved within same county: - 70 to 74 years,Estimate; Total: - Moved within same county: - 75 years and over,Margin of Error; Total: - Moved within same county: - 75 years and over,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - 1 to 4 years,Margin of Error; Total: - Moved from different county within same state: - 1 to 4 years,Estimate; Total: - Moved from different county within same state: - 5 to 17 years,Margin of Error; Total: - Moved from different county within same state: - 5 to 17 years,Estimate; Total: - Moved from different county within same state: - 18 and 19 years,Margin of Error; Total: - Moved from different county within same state: - 18 and 19 years,Estimate; Total: - Moved from different county within same state: - 20 to 24 years,Margin of Error; Total: - Moved from different county within same state: - 20 to 24 years,Estimate; Total: - Moved from different county within same state: - 25 to 29 years,Margin of Error; Total: - Moved from different county within same state: - 25 to 29 years,Estimate; Total: - Moved from different county within same state: - 30 to 34 years,Margin of Error; Total: - Moved from different county within same state: - 30 to 34 years,Estimate; Total: - Moved from different county within same state: - 35 to 39 years,Margin of Error; Total: - Moved from different county within same state: - 35 to 39 years,Estimate; Total: - Moved from different county within same state: - 40 to 44 years,Margin of Error; Total: - Moved from different county within same state: - 40 to 44 years,Estimate; Total: - Moved from different county within same state: - 45 to 49 years,Margin of Error; Total: - Moved from different county within same state: - 45 to 49 years,Estimate; Total: - Moved from different county within same state: - 50 to 54 years,Margin of Error; Total: - Moved from different county within same state: - 50 to 54 years,Estimate; Total: - Moved from different county within same state: - 55 to 59 years,Margin of Error; Total: - Moved from different county within same state: - 55 to 59 years,Estimate; Total: - Moved from different county within same state: - 60 to 64 years,Margin of Error; Total: - Moved from different county within same state: - 60 to 64 years,Estimate; Total: - Moved from different county within same state: - 65 to 69 years,Margin of Error; Total: - Moved from different county within same state: - 65 to 69 years,Estimate; Total: - Moved from different county within same state: - 70 to 74 years,Margin of Error; Total: - Moved from different county within same state: - 70 to 74 years,Estimate; Total: - Moved from different county within same state: - 75 years and over,Margin of Error; Total: - Moved from different county within same state: - 75 years and over,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - 1 to 4 years,Margin of Error; Total: - Moved from different state: - 1 to 4 years,Estimate; Total: - Moved from different state: - 5 to 17 years,Margin of Error; Total: - Moved from different state: - 5 to 17 years,Estimate; Total: - Moved from different state: - 18 and 19 years,Margin of Error; Total: - Moved from different state: - 18 and 19 years,Estimate; Total: - Moved from different state: - 20 to 24 years,Margin of Error; Total: - Moved from different state: - 20 to 24 years,Estimate; Total: - Moved from different state: - 25 to 29 years,Margin of Error; Total: - Moved from different state: - 25 to 29 years,Estimate; Total: - Moved from different state: - 30 to 34 years,Margin of Error; Total: - Moved from different state: - 30 to 34 years,Estimate; Total: - Moved from different state: - 35 to 39 years,Margin of Error; Total: - Moved from different state: - 35 to 39 years,Estimate; Total: - Moved from different state: - 40 to 44 years,Margin of Error; Total: - Moved from different state: - 40 to 44 years,Estimate; Total: - Moved from different state: - 45 to 49 years,Margin of Error; Total: - Moved from different state: - 45 to 49 years,Estimate; Total: - Moved from different state: - 50 to 54 years,Margin of Error; Total: - Moved from different state: - 50 to 54 years,Estimate; Total: - Moved from different state: - 55 to 59 years,Margin of Error; Total: - Moved from different state: - 55 to 59 years,Estimate; Total: - Moved from different state: - 60 to 64 years,Margin of Error; Total: - Moved from different state: - 60 to 64 years,Estimate; Total: - Moved from different state: - 65 to 69 years,Margin of Error; Total: - Moved from different state: - 65 to 69 years,Estimate; Total: - Moved from different state: - 70 to 74 years,Margin of Error; Total: - Moved from different state: - 70 to 74 years,Estimate; Total: - Moved from different state: - 75 years and over,Margin of Error; Total: - Moved from different state: - 75 years and over,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - 1 to 4 years,Margin of Error; Total: - Moved from abroad: - 1 to 4 years,Estimate; Total: - Moved from abroad: - 5 to 17 years,Margin of Error; Total: - Moved from abroad: - 5 to 17 years,Estimate; Total: - Moved from abroad: - 18 and 19 years,Margin of Error; Total: - Moved from abroad: - 18 and 19 years,Estimate; Total: - Moved from abroad: - 20 to 24 years,Margin of Error; Total: - Moved from abroad: - 20 to 24 years,Estimate; Total: - Moved from abroad: - 25 to 29 years,Margin of Error; Total: - Moved from abroad: - 25 to 29 years,Estimate; Total: - Moved from abroad: - 30 to 34 years,Margin of Error; Total: - Moved from abroad: - 30 to 34 years,Estimate; Total: - Moved from abroad: - 35 to 39 years,Margin of Error; Total: - Moved from abroad: - 35 to 39 years,Estimate; Total: - Moved from abroad: - 40 to 44 years,Margin of Error; Total: - Moved from abroad: - 40 to 44 years,Estimate; Total: - Moved from abroad: - 45 to 49 years,Margin of Error; Total: - Moved from abroad: - 45 to 49 years,Estimate; Total: - Moved from abroad: - 50 to 54 years,Margin of Error; Total: - Moved from abroad: - 50 to 54 years,Estimate; Total: - Moved from abroad: - 55 to 59 years,Margin of Error; Total: - Moved from abroad: - 55 to 59 years,Estimate; Total: - Moved from abroad: - 60 to 64 years,Margin of Error; Total: - Moved from abroad: - 60 to 64 years,Estimate; Total: - Moved from abroad: - 65 to 69 years,Margin of Error; Total: - Moved from abroad: - 65 to 69 years,Estimate; Total: - Moved from abroad: - 70 to 74 years,Margin of Error; Total: - Moved from abroad: - 70 to 74 years,Estimate; Total: - Moved from abroad: - 75 years and over,Margin of Error; Total: - Moved from abroad: - 75 years and over
0500000US01003,01003,"Baldwin County, Alabama",201489,1104,7784,963,34886,1072,4743,1183,10338,1085,10489,668,13245,1307,12358,2351,13073,2109,13126,866,14183,901,12895,1723,14388,1630,14300,2022,10451,1764,15230,387,180002,4019,6108,1062,31704,1475,4225,1226,7742,1446,8057,1131,10401,1802,11197,2351,12461,2101,12009,1111,13428,1047,12248,1728,12787,1743,12973,2132,9847,1810,14815,517,12482,2528,1101,607,2128,776,386,514,1328,650,1661,789,1237,749,393,347,612,435,585,569,584,385,284,273,866,529,749,578,233,243,335,296,4514,1960,352,570,788,752,99,211,838,574,636,466,439,325,562,381,0,192,154,180,0,192,52,68,362,294,120,201,112,187,0,192,4428,1462,223,366,266,305,33,70,430,376,135,173,1168,740,206,345,0,192,378,466,171,192,311,244,373,379,458,373,196,222,80,129,63,106,0,192,0,192,0,192,0,192,0,192,0,192,0,192,0,192,0,192,0,192,0,192,0,192,0,192,63,106,0,192
0500000US01015,01015,"Calhoun County, Alabama",114243,709,4749,714,19374,316,3659,656,8074,772,7576,465,6979,684,6048,1078,8230,1104,7237,538,7612,453,9019,1221,7157,1141,7055,754,3881,767,7593,274,95490,3163,3790,673,14973,1439,2071,601,5031,982,5184,857,5814,804,5125,960,7153,1060,6523,565,7219,500,8387,1248,6541,1136,6740,795,3771,743,7168,402,11413,3034,388,307,3442,1272,407,276,1721,857,1404,780,539,363,676,429,750,509,604,534,242,224,201,170,505,413,109,127,0,192,425,300,5109,1919,571,507,762,523,792,357,805,549,645,467,323,270,247,297,184,160,94,122,59,80,358,388,66,112,93,111,110,184,0,192,2170,808,0,192,197,222,389,307,517,427,343,406,303,408,0,192,143,142,0,192,92,120,73,81,0,192,113,190,0,192,0,192,61,76,0,192,0,192,0,192,0,192,0,192,0,192,0,192,0,192,16,27,0,192,0,192,45,73,0,192,0,192,0,192
0500000US01069,01069,"Houston County, Alabama",102914,415,4983,416,18306,151,2087,72,6107,236,6807,173,6967,240,5463,701,7438,702,6682,201,7283,152,7456,555,6320,555,5895,399,4012,382,7108,61,89889,1803,4030,487,16149,701,1706,197,4167,507,5349,420,6151,341,4327,622,6284,696,6209,273,6777,198,6930,591,5962,504,5688,401,3703,387,6457,473,7808,1227,763,274,1527,590,173,113,1136,348,876,284,526,217,616,276,647,359,305,150,239,85,303,138,180,97,139,85,180,92,198,128,2376,689,109,138,298,189,163,130,464,255,366,210,56,64,174,156,398,336,73,85,81,60,17,20,37,31,28,46,37,60,75,54,2648,844,81,69,222,135,45,56,340,210,216,119,234,130,306,181,94,109,95,75,177,98,206,144,122,89,40,52,92,105,378,463,193,168,0,192,110,159,0,192,0,192,0,192,0,192,40,42,15,27,0,192,9,15,0,192,19,22,0,192,0,192,0,192
0500000US01073,01073,"Jefferson County, Alabama",652639,1233,34988,1234,109569,277,15462,341,43196,817,49159,844,46799,795,44904,2567,38937,2537,40663,545,44721,636,46823,2691,40964,2771,32240,1799,22551,1850,41663,343,540097,7899,23774,1813,93176,2640,11439,1085,29253,2291,33467,2200,34103,2077,36620,2672,33387,2350,35682,1474,39373,1606,42728,2459,37367,2603,29138,1661,21366,1935,39224,774,76242,6304,8193,1777,11650,2264,1221,531,8874,1812,10207,1672,7716,1833,6138,1701,4459,1224,3774,1182,4027,1304,2559,824,2699,647,2181,791,982,497,1562,512,17019,3147,1522,790,2426,1077,1367,553,2433,902,3191,1354,1253,626,1406,750,635,445,686,450,383,319,603,445,182,165,597,459,116,199,219,190,17363,3407,1499,721,2056,943,979,611,2118,697,2200,887,3671,1373,740,485,394,232,521,387,890,717,854,503,602,430,184,168,87,101,568,424,1918,834,0,192,261,265,456,486,518,430,94,154,56,92,0,192,62,85,0,192,48,80,79,126,114,196,140,169,0,192,90,144
0500000US01081,01081,"Lee County, Alabama",155461,615,7391,874,24709,1016,9361,1314,21823,1421,11095,837,9153,712,10736,1521,8962,1253,8808,806,9305,539,10441,1823,6946,1194,6805,827,3219,818,6707,456,119568,4454,5159,1110,20550,1525,4452,1123,11573,1698,7768,1061,7024,954,8424,1453,7569,1243,7618,895,7651,949,9587,1877,6441,1160,6617,799,3118,804,6017,626,17126,3654,1135,723,2650,1378,1217,636,5261,1572,1856,898,666,418,1214,726,784,562,697,522,773,524,328,280,219,188,45,73,101,124,180,274,9429,2711,572,641,718,421,2524,847,1615,755,327,298,854,567,579,579,440,376,261,401,722,589,286,363,223,356,27,45,0,192,281,293,8639,2319,525,509,700,537,1095,416,3290,1326,1111,587,500,507,262,292,117,199,232,317,159,186,240,358,63,105,116,134,0,192,229,230,699,540,0,192,91,176,73,115,84,146,33,69,109,215,257,318,52,99,0,192,0,192,0,192,0,192,0,192,0,192,0,192
0500000US01089,01089,"Madison County, Alabama",349417,1085,16894,1033,58205,859,9357,945,24926,1081,24677,626,22998,510,22316,1823,21238,1855,24523,738,28484,641,25652,1690,20668,1654,16859,1321,11435,1354,21185,269,299984,4985,14414,1304,52840,1736,6561,857,16266,1978,16679,1545,18383,1350,19246,1719,18782,1797,22033,1131,25534,1134,23399,1742,19459,1632,15545,1220,11009,1350,19834,583,29178,3829,1128,569,3138,1332,729,433,5638,2004,4242,924,3454,1104,2447,778,992,532,1729,886,1822,837,1277,690,650,412,903,503,263,241,766,421,9853,2450,714,649,1094,834,1618,1156,1887,1282,1559,763,479,381,321,314,505,452,263,253,423,464,204,263,376,261,139,161,0,192,271,247,9054,1783,582,327,886,457,385,308,915,556,2152,905,682,460,200,201,890,488,223,287,578,366,733,474,141,156,272,220,163,194,252,193,1348,839,56,95,247,278,64,100,220,242,45,76,0,192,102,171,69,114,275,278,127,152,39,67,42,72,0,192,0,192,62,75
0500000US01097,01097,"Mobile County, Alabama",409617,1352,21728,1282,71648,260,9840,291,28736,878,30642,925,26719,679,25123,1953,24585,1899,24863,616,29363,698,26018,1762,28967,1754,21082,1347,15450,1425,24853,296,354787,4198,17276,1642,62301,1865,7851,906,21138,1593,24430,1421,20059,1480,21273,1863,21714,1890,21990,1177,26275,1186,25060,1779,26759,1725,20354,1360,14541,1332,23766,686,41741,4319,3868,1510,7338,1788,1061,718,6187,1322,4284,1336,4990,1210,3013,1090,2167,735,2610,902,2061,744,843,451,1744,701,500,268,699,387,376,204,4379,1433,0,192,780,778,443,352,818,467,807,395,482,376,116,89,191,169,116,124,81,102,0,192,87,109,48,77,26,43,384,443,7365,1912,584,396,1229,683,485,323,510,417,425,460,1114,660,628,481,436,338,111,95,851,766,71,86,329,329,147,152,118,197,327,338,1345,666,0,192,0,192,0,192,83,123,696,621,74,129,93,109,77,132,36,59,95,158,44,69,48,82,33,54,66,109,0,192
0500000US01101,01101,"Montgomery County, Alabama",223714,785,11922,876,39385,469,6148,413,17628,515,17421,545,15492,540,14269,1806,14524,1795,13467,602,14500,260,14618,1236,13723,1277,10084,852,7448,876,13085,152,176210,5554,8342,1210,29957,2021,3747,718,10665,1531,11847,1583,10572,1407,11493,1769,11308,1630,10919,1003,13077,687,13070,1264,12422,1254,9327,883,7112,946,12352,396,32776,4643,2460,983,6987,1741,1116,541,5186,1505,3072,1028,4270,1336,1550,687,1832,786,2336,754,809,534,877,442,1047,582,414,249,210,252,610,403,8437,2266,680,549,905,589,635,462,1444,803,1906,1127,390,377,707,530,474,401,90,96,169,199,271,211,210,338,343,235,90,143,123,150,4484,1449,341,240,932,648,650,410,214,199,511,391,205,173,519,352,193,150,122,204,445,270,316,298,0,192,0,192,36,59,0,192,1807,1428,99,177,604,649,0,192,119,201,85,101,55,86,0,192,717,735,0,192,0,192,84,146,44,72,0,192,0,192,0,192
0500000US01117,01117,"Shelby County, Alabama",206437,821,10103,933,37821,355,5865,684,11631,731,11661,795,14437,1111,15674,1931,15281,1735,14175,432,14740,700,13192,1516,14097,1455,10286,1056,7215,1016,10259,314,178804,4654,7897,948,32998,1680,4460,684,7675,1139,8734,1052,11146,1613,13662,1982,13970,1684,13208,557,13915,486,11292,1537,13232,1509,10066,1109,6976,979,9573,467,10148,2981,544,392,2252,1309,197,183,1510,995,732,442,1043,845,811,748,427,311,537,389,273,274,693,536,242,290,220,245,167,209,500,312,11363,2749,768,515,1557,937,700,368,2073,823,1357,622,1437,689,807,477,520,444,338,220,552,586,811,517,280,291,0,192,35,60,128,155,6074,2287,894,849,1014,619,508,425,373,358,790,557,811,608,394,403,364,348,92,94,0,192,396,286,343,352,0,192,37,62,58,69,48,94,0,192,0,192,0,192,0,192,48,94,0,192,0,192,0,192,0,192,0,192,0,192,0,192,0,192,0,192,0,192
