GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate,Margin of Error; Less than high school graduate,Estimate; High school graduate (includes equivalency),Margin of Error; High school graduate (includes equivalency),Estimate; Some college or associate's degree,Margin of Error; Some college or associate's degree,Estimate; Bachelor's degree,Margin of Error; Bachelor's degree,Estimate; Graduate or professional degree,Margin of Error; Graduate or professional degree,Estimate; Same house 1 year ago:,Margin of Error; Same house 1 year ago:,Estimate; Same house 1 year ago: - Less than high school graduate,Margin of Error; Same house 1 year ago: - Less than high school graduate,Estimate; Same house 1 year ago: - High school graduate (includes equivalency),Margin of Error; Same house 1 year ago: - High school graduate (includes equivalency),Estimate; Same house 1 year ago: - Some college or associate's degree,Margin of Error; Same house 1 year ago: - Some college or associate's degree,Estimate; Same house 1 year ago: - Bachelor's degree,Margin of Error; Same house 1 year ago: - Bachelor's degree,Estimate; Same house 1 year ago: - Graduate or professional degree,Margin of Error; Same house 1 year ago: - Graduate or professional degree,Estimate; Moved within same county:,Margin of Error; Moved within same county:,Estimate; Moved within same county: - Less than high school graduate,Margin of Error; Moved within same county: - Less than high school graduate,Estimate; Moved within same county: - High school graduate (includes equivalency),Margin of Error; Moved within same county: - High school graduate (includes equivalency),Estimate; Moved within same county: - Some college or associate's degree,Margin of Error; Moved within same county: - Some college or associate's degree,Estimate; Moved within same county: - Bachelor's degree,Margin of Error; Moved within same county: - Bachelor's degree,Estimate; Moved within same county: - Graduate or professional degree,Margin of Error; Moved within same county: - Graduate or professional degree,Estimate; Moved from different county within same state:,Margin of Error; Moved from different county within same state:,Estimate; Moved from different county within same state: - Less than high school graduate,Margin of Error; Moved from different county within same state: - Less than high school graduate,Estimate; Moved from different county within same state: - High school graduate (includes equivalency),Margin of Error; Moved from different county within same state: - High school graduate (includes equivalency),Estimate; Moved from different county within same state: - Some college or associate's degree,Margin of Error; Moved from different county within same state: - Some college or associate's degree,Estimate; Moved from different county within same state: - Bachelor's degree,Margin of Error; Moved from different county within same state: - Bachelor's degree,Estimate; Moved from different county within same state: - Graduate or professional degree,Margin of Error; Moved from different county within same state: - Graduate or professional degree,Estimate; Moved from different state:,Margin of Error; Moved from different state:,Estimate; Moved from different state: - Less than high school graduate,Margin of Error; Moved from different state: - Less than high school graduate,Estimate; Moved from different state: - High school graduate (includes equivalency),Margin of Error; Moved from different state: - High school graduate (includes equivalency),Estimate; Moved from different state: - Some college or associate's degree,Margin of Error; Moved from different state: - Some college or associate's degree,Estimate; Moved from different state: - Bachelor's degree,Margin of Error; Moved from different state: - Bachelor's degree,Estimate; Moved from different state: - Graduate or professional degree,Margin of Error; Moved from different state: - Graduate or professional degree,Estimate; Moved from abroad:,Margin of Error; Moved from abroad:,Estimate; Moved from abroad: - Less than high school graduate,Margin of Error; Moved from abroad: - Less than high school graduate,Estimate; Moved from abroad: - High school graduate (includes equivalency),Margin of Error; Moved from abroad: - High school graduate (includes equivalency),Estimate; Moved from abroad: - Some college or associate's degree,Margin of Error; Moved from abroad: - Some college or associate's degree,Estimate; Moved from abroad: - Bachelor's degree,Margin of Error; Moved from abroad: - Bachelor's degree,Estimate; Moved from abroad: - Graduate or professional degree,Margin of Error; Moved from abroad: - Graduate or professional degree
0500000US01003,01003,"Baldwin County, Alabama",116727,830,15523,2140,37730,3158,33380,2380,19230,2229,10864,1771,97557,2790,12243,1982,32903,2925,28186,2265,15680,1818,8545,1519,8236,1907,1637,704,2737,1247,1983,1046,1534,734,345,256,1868,775,261,167,400,312,476,298,367,343,364,274,8762,2327,1355,991,1690,1026,2707,1089,1400,651,1610,902,304,410,27,43,0,265,28,43,249,399,0,265
0500000US01015,01015,"Calhoun County, Alabama",75176,573,16658,1599,25285,1850,19227,1640,7889,1517,6117,1236,64821,1830,14243,1629,22157,1757,16593,1630,6198,1299,5630,1236,6516,1389,1882,683,1756,609,1656,521,1016,687,206,251,1593,1244,194,196,982,912,417,413,0,265,0,265,2114,977,339,262,390,237,494,311,610,738,281,329,132,194,0,265,0,265,67,111,65,111,0,265
0500000US01043,01043,"Cullman County, Alabama",54683,430,12148,1199,20068,1911,15626,1954,3747,825,3094,766,46463,1822,10721,1114,16939,1698,12844,1850,3034,698,2925,758,4817,1362,1024,415,1683,1004,1633,685,477,431,0,265,1666,823,346,267,383,305,829,563,42,72,66,107,1648,982,57,94,974,825,320,302,194,213,103,183,89,144,0,265,89,144,0,265,0,265,0,265
0500000US01051,01051,"Elmore County, Alabama",49721,447,8787,1227,19517,1671,12893,1526,6078,1069,2446,595,40361,1568,6911,1156,15689,1775,10100,1436,5398,1048,2263,582,2369,856,211,156,1319,670,743,482,96,157,0,265,5945,1289,1413,620,2216,718,1717,752,457,356,142,176,973,484,252,201,293,213,260,198,127,103,41,67,73,92,0,265,0,265,73,92,0,265,0,265
0500000US01055,01055,"Etowah County, Alabama",70194,503,14152,1790,24687,2209,20129,1941,7358,1468,3868,946,60323,1815,12098,1583,21046,2060,17197,1774,6437,1453,3545,857,6885,1531,1190,601,3234,1149,1856,639,491,381,114,135,1689,816,515,465,234,148,568,426,268,255,104,172,1137,574,307,291,101,117,508,336,116,192,105,145,160,162,42,68,72,122,0,265,46,80,0,265
0500000US01069,01069,"Houston County, Alabama",63691,163,13554,1025,19845,1273,17913,926,8434,856,3945,591,55724,908,11816,1012,17527,1197,15622,927,7361,841,3398,487,4779,770,1446,358,1349,476,1269,355,517,283,198,203,1275,479,132,114,343,253,369,172,385,302,46,48,1841,574,132,108,582,251,653,344,171,128,303,193,72,75,28,36,44,64,0,265,0,265,0,265
0500000US01073,01073,"Jefferson County, Alabama",435250,477,62674,3741,122921,5857,126759,5209,78469,4028,44427,3437,372558,4738,52351,3230,106693,4931,107129,5152,66911,3610,39474,3252,44452,3973,7399,1851,11880,1988,14324,2040,7654,1663,3195,1032,9148,1978,1896,798,2086,730,2709,981,1824,805,633,334,8096,1880,952,510,1963,1018,2325,807,1906,798,950,494,996,480,76,127,299,322,272,265,174,191,175,169
0500000US01077,01077,"Lauderdale County, Alabama",58885,581,9543,1354,19402,1767,17032,1675,8964,1433,3944,755,51704,1802,8272,1298,16790,1599,14828,1661,8198,1415,3616,804,3934,1246,1153,554,965,342,1189,781,564,426,63,104,1528,608,99,166,806,449,265,210,202,241,156,149,1520,832,19,33,762,583,630,445,0,265,109,152,199,242,0,265,79,130,120,199,0,265,0,265
0500000US01081,01081,"Lee County, Alabama",70192,340,9586,1435,18764,1830,19556,1569,12248,1592,10038,1162,59253,1586,7541,1358,16502,1782,16008,1410,10247,1437,8955,1112,4777,916,1333,494,853,441,1076,388,1004,417,511,284,2331,816,515,362,417,253,1191,603,183,171,25,36,2946,989,187,242,884,454,963,646,543,266,369,345,885,596,10,16,108,144,318,359,271,430,178,169
