GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81
Id,Id2,Geography,Estimate; Total living in area 1 year ago:,Margin of Error; Total living in area 1 year ago:,Estimate; 1 to 4 years,Margin of Error; 1 to 4 years,Estimate; 5 to 17 years,Margin of Error; 5 to 17 years,Estimate; 18 and 19 years,Margin of Error; 18 and 19 years,Estimate; 20 to 24 years,Margin of Error; 20 to 24 years,Estimate; 25 to 29 years,Margin of Error; 25 to 29 years,Estimate; 30 to 34 years,Margin of Error; 30 to 34 years,Estimate; 35 to 39 years,Margin of Error; 35 to 39 years,Estimate; 40 to 44 years,Margin of Error; 40 to 44 years,Estimate; 45 to 49 years,Margin of Error; 45 to 49 years,Estimate; 50 to 54 years,Margin of Error; 50 to 54 years,Estimate; 55 to 59 years,Margin of Error; 55 to 59 years,Estimate; 60 to 64 years,Margin of Error; 60 to 64 years,Estimate; 65 to 69 years,Margin of Error; 65 to 69 years,Estimate; 70 to 74 years,Margin of Error; 70 to 74 years,Estimate; 75 years and over,Margin of Error; 75 years and over,Estimate; Same house:,Margin of Error; Same house:,Estimate; Same house: - 1 to 4 years,Margin of Error; Same house: - 1 to 4 years,Estimate; Same house: - 5 to 17 years,Margin of Error; Same house: - 5 to 17 years,Estimate; Same house: - 18 and 19 years,Margin of Error; Same house: - 18 and 19 years,Estimate; Same house: - 20 to 24 years,Margin of Error; Same house: - 20 to 24 years,Estimate; Same house: - 25 to 29 years,Margin of Error; Same house: - 25 to 29 years,Estimate; Same house: - 30 to 34 years,Margin of Error; Same house: - 30 to 34 years,Estimate; Same house: - 35 to 39 years,Margin of Error; Same house: - 35 to 39 years,Estimate; Same house: - 40 to 44 years,Margin of Error; Same house: - 40 to 44 years,Estimate; Same house: - 45 to 49 years,Margin of Error; Same house: - 45 to 49 years,Estimate; Same house: - 50 to 54 years,Margin of Error; Same house: - 50 to 54 years,Estimate; Same house: - 55 to 59 years,Margin of Error; Same house: - 55 to 59 years,Estimate; Same house: - 60 to 64 years,Margin of Error; Same house: - 60 to 64 years,Estimate; Same house: - 65 to 69 years,Margin of Error; Same house: - 65 to 69 years,Estimate; Same house: - 70 to 74 years,Margin of Error; Same house: - 70 to 74 years,Estimate; Same house: - 75 years and over,Margin of Error; Same house: - 75 years and over,Estimate; Moved within same county:,Margin of Error; Moved within same county:,Estimate; Moved within same county: - 1 to 4 years,Margin of Error; Moved within same county: - 1 to 4 years,Estimate; Moved within same county: - 5 to 17 years,Margin of Error; Moved within same county: - 5 to 17 years,Estimate; Moved within same county: - 18 and 19 years,Margin of Error; Moved within same county: - 18 and 19 years,Estimate; Moved within same county: - 20 to 24 years,Margin of Error; Moved within same county: - 20 to 24 years,Estimate; Moved within same county: - 25 to 29 years,Margin of Error; Moved within same county: - 25 to 29 years,Estimate; Moved within same county: - 30 to 34 years,Margin of Error; Moved within same county: - 30 to 34 years,Estimate; Moved within same county: - 35 to 39 years,Margin of Error; Moved within same county: - 35 to 39 years,Estimate; Moved within same county: - 40 to 44 years,Margin of Error; Moved within same county: - 40 to 44 years,Estimate; Moved within same county: - 45 to 49 years,Margin of Error; Moved within same county: - 45 to 49 years,Estimate; Moved within same county: - 50 to 54 years,Margin of Error; Moved within same county: - 50 to 54 years,Estimate; Moved within same county: - 55 to 59 years,Margin of Error; Moved within same county: - 55 to 59 years,Estimate; Moved within same county: - 60 to 64 years,Margin of Error; Moved within same county: - 60 to 64 years,Estimate; Moved within same county: - 65 to 69 years,Margin of Error; Moved within same county: - 65 to 69 years,Estimate; Moved within same county: - 70 to 74 years,Margin of Error; Moved within same county: - 70 to 74 years,Estimate; Moved within same county: - 75 years and over,Margin of Error; Moved within same county: - 75 years and over,Estimate; Moved to different county within same state:,Margin of Error; Moved to different county within same state:,Estimate; Moved to different county within same state: - 1 to 4 years,Margin of Error; Moved to different county within same state: - 1 to 4 years,Estimate; Moved to different county within same state: - 5 to 17 years,Margin of Error; Moved to different county within same state: - 5 to 17 years,Estimate; Moved to different county within same state: - 18 and 19 years,Margin of Error; Moved to different county within same state: - 18 and 19 years,Estimate; Moved to different county within same state: - 20 to 24 years,Margin of Error; Moved to different county within same state: - 20 to 24 years,Estimate; Moved to different county within same state: - 25 to 29 years,Margin of Error; Moved to different county within same state: - 25 to 29 years,Estimate; Moved to different county within same state: - 30 to 34 years,Margin of Error; Moved to different county within same state: - 30 to 34 years,Estimate; Moved to different county within same state: - 35 to 39 years,Margin of Error; Moved to different county within same state: - 35 to 39 years,Estimate; Moved to different county within same state: - 40 to 44 years,Margin of Error; Moved to different county within same state: - 40 to 44 years,Estimate; Moved to different county within same state: - 45 to 49 years,Margin of Error; Moved to different county within same state: - 45 to 49 years,Estimate; Moved to different county within same state: - 50 to 54 years,Margin of Error; Moved to different county within same state: - 50 to 54 years,Estimate; Moved to different county within same state: - 55 to 59 years,Margin of Error; Moved to different county within same state: - 55 to 59 years,Estimate; Moved to different county within same state: - 60 to 64 years,Margin of Error; Moved to different county within same state: - 60 to 64 years,Estimate; Moved to different county within same state: - 65 to 69 years,Margin of Error; Moved to different county within same state: - 65 to 69 years,Estimate; Moved to different county within same state: - 70 to 74 years,Margin of Error; Moved to different county within same state: - 70 to 74 years,Estimate; Moved to different county within same state: - 75 years and over,Margin of Error; Moved to different county within same state: - 75 years and over,Estimate; Moved to different state:,Margin of Error; Moved to different state:,Estimate; Moved to different state: - 1 to 4 years,Margin of Error; Moved to different state: - 1 to 4 years,Estimate; Moved to different state: - 5 to 17 years,Margin of Error; Moved to different state: - 5 to 17 years,Estimate; Moved to different state: - 18 and 19 years,Margin of Error; Moved to different state: - 18 and 19 years,Estimate; Moved to different state: - 20 to 24 years,Margin of Error; Moved to different state: - 20 to 24 years,Estimate; Moved to different state: - 25 to 29 years,Margin of Error; Moved to different state: - 25 to 29 years,Estimate; Moved to different state: - 30 to 34 years,Margin of Error; Moved to different state: - 30 to 34 years,Estimate; Moved to different state: - 35 to 39 years,Margin of Error; Moved to different state: - 35 to 39 years,Estimate; Moved to different state: - 40 to 44 years,Margin of Error; Moved to different state: - 40 to 44 years,Estimate; Moved to different state: - 45 to 49 years,Margin of Error; Moved to different state: - 45 to 49 years,Estimate; Moved to different state: - 50 to 54 years,Margin of Error; Moved to different state: - 50 to 54 years,Estimate; Moved to different state: - 55 to 59 years,Margin of Error; Moved to different state: - 55 to 59 years,Estimate; Moved to different state: - 60 to 64 years,Margin of Error; Moved to different state: - 60 to 64 years,Estimate; Moved to different state: - 65 to 69 years,Margin of Error; Moved to different state: - 65 to 69 years,Estimate; Moved to different state: - 70 to 74 years,Margin of Error; Moved to different state: - 70 to 74 years,Estimate; Moved to different state: - 75 years and over,Margin of Error; Moved to different state: - 75 years and over
0500000US01003,01003,"Baldwin County, Alabama",170470,5488,8263,1269,28470,2081,4912,803,8172,1175,9564,1513,9868,1461,11273,1869,11382,1513,13396,680,12152,649,10896,1256,11290,1188,9333,1344,8056,1173,13443,679,147460,5240,6566,1041,24387,2196,3335,358,5315,1205,6414,1250,8256,1337,9729,1584,10253,1351,12236,660,11425,643,10427,1217,10475,1245,8527,1216,7741,1054,12374,637,13498,3770,1363,678,2723,1289,422,351,1753,870,2292,1137,914,510,252,327,963,683,502,342,342,281,166,172,442,404,626,400,129,154,609,347,3096,1121,82,131,280,204,309,250,455,332,251,207,393,320,267,273,166,200,195,232,328,293,0,271,72,127,64,103,0,271,234,235,6416,2442,252,271,1080,910,846,691,649,564,607,396,305,322,1025,775,0,271,463,394,57,93,303,231,301,186,116,192,186,283,226,309
0500000US01015,01015,"Calhoun County, Alabama",114967,3112,6760,685,18967,1022,3262,518,7547,853,8634,1119,8128,1238,5458,934,7994,1035,8534,756,7744,367,8414,854,6154,958,4837,776,4167,799,8367,623,93990,3260,4970,827,14575,999,2180,392,5002,912,6013,822,5963,915,4186,933,6982,955,7169,428,7405,425,7559,945,5385,808,4779,767,4045,802,7777,615,13724,3008,1325,617,3125,1069,763,383,1613,650,1520,660,1350,667,1047,517,702,452,608,316,320,251,616,522,272,308,58,100,66,113,339,303,4844,1976,384,444,920,642,319,261,610,386,917,624,418,448,169,126,267,298,422,413,19,31,86,122,62,104,0,271,0,271,251,263,2409,1200,81,137,347,471,0,271,322,261,184,180,397,578,56,90,43,72,335,534,0,271,153,251,435,434,0,271,56,94,0,271
0500000US01055,01055,"Etowah County, Alabama",103502,3200,5083,956,18424,1376,2159,331,6145,903,6311,1065,7818,891,6088,1076,6378,983,6518,529,7846,665,6679,891,7233,987,4476,767,4503,681,7841,579,86824,3097,3251,564,15109,1201,1793,263,3952,819,4790,1071,5263,978,5507,1087,6115,967,6146,556,7343,586,6156,861,6405,817,4070,796,3960,772,6964,559,8819,2496,886,556,1495,940,166,194,1031,569,879,496,1737,806,308,240,82,100,270,235,132,159,330,291,262,297,277,362,543,414,421,275,4984,2185,829,814,972,759,42,71,855,544,401,353,399,291,265,222,122,198,102,120,136,151,69,111,255,202,81,98,0,271,456,445,2875,1689,117,137,848,772,158,219,307,392,241,359,419,482,8,42,59,101,0,271,235,284,124,156,311,464,48,78,0,271,0,271
0500000US01069,01069,"Houston County, Alabama",96834,2202,5164,706,16431,658,2766,370,5914,595,6923,606,6013,270,5918,648,6541,585,6978,363,6825,277,6932,533,4834,536,4332,441,3784,417,7479,246,84413,1915,4053,552,14582,854,1945,198,4223,401,5073,458,5100,377,5004,684,5759,574,6399,336,6315,252,6384,520,4656,519,4080,399,3722,414,7118,231,7625,1280,566,225,1567,651,246,168,881,301,943,355,720,272,637,231,526,255,412,170,363,187,316,171,98,70,146,123,62,53,142,148,3611,1548,505,479,92,107,412,303,788,562,767,532,128,154,176,206,115,107,167,177,102,129,175,170,19,37,106,131,0,271,59,105,1185,589,40,74,190,230,163,158,22,96,140,180,65,78,101,118,141,225,0,271,45,75,57,99,61,109,0,271,0,271,160,187
0500000US01073,01073,"Jefferson County, Alabama",663491,6548,38796,1908,110687,2528,19131,1252,43127,1949,52394,1856,48013,2122,43464,2790,42444,2800,47447,1272,49371,1286,42922,1912,35563,2047,26403,1624,18142,1700,45587,740,546691,8921,32117,2009,89661,3092,12272,1408,26819,2056,35129,2111,35083,1995,36366,2855,35599,2708,42660,1450,44107,1457,37727,1917,33141,2078,25367,1633,17767,1636,42876,785,82526,6963,5204,1147,15913,2507,3345,985,11401,2254,11278,1947,9038,1604,5104,1320,5188,1445,3487,1180,3990,1300,4037,1092,1646,629,833,424,332,232,1730,539,20001,3003,895,504,2666,877,2285,819,3031,1133,3803,1352,2357,924,864,415,1119,547,768,433,804,580,426,335,163,169,162,154,0,271,658,423,14273,2479,580,303,2447,1186,1229,520,1876,951,2184,823,1535,1117,1130,647,538,341,532,408,470,379,732,538,613,402,41,71,43,71,323,254
0500000US01081,01081,"Lee County, Alabama",129745,4037,6790,782,21078,1205,5817,1542,22655,1757,9868,1168,6386,742,9554,1208,7157,1075,8238,432,7886,581,6901,816,5666,888,3539,490,3278,488,4932,275,104150,3493,5547,586,17720,1297,3937,1417,13862,1835,6564,809,4805,495,7670,1049,6563,1055,7473,583,6973,479,6439,748,5305,783,3428,477,3138,461,4726,263,14539,2673,720,424,2245,1106,638,374,6091,1383,1147,460,789,377,1071,594,518,333,557,377,325,261,147,174,190,270,28,50,0,271,73,97,4764,1352,0,271,427,315,751,504,1560,782,815,541,118,122,181,146,69,95,208,183,275,275,149,240,10,18,83,100,118,160,0,271,6292,2212,523,409,686,794,491,445,1142,616,1342,628,674,577,632,601,7,13,0,271,313,271,166,198,161,191,0,271,22,38,133,140
0500000US01089,01089,"Madison County, Alabama",321302,5452,17105,1288,59300,1416,8814,1482,21173,1484,22160,1827,20410,1271,24425,2074,20615,2095,27683,1208,23591,1051,19001,1566,16133,1483,11669,1325,11305,1366,17918,700,264284,6392,11758,1666,47419,2096,6205,1420,15383,1601,14559,1709,13095,1509,19357,1822,18262,2092,25582,887,21470,789,17661,1616,15191,1530,10729,1301,10550,1373,17063,803,38916,5658,4417,1388,8394,2115,1341,621,3723,1368,4566,1319,5955,1538,3537,1103,1105,515,845,423,1272,584,994,476,738,396,781,491,576,363,672,370,8880,2151,102,126,2317,1045,794,507,693,426,1152,721,286,366,672,482,1022,584,627,369,543,621,207,323,157,130,63,83,62,112,183,173,9222,2370,828,571,1170,556,474,295,1374,577,1883,992,1074,573,859,490,226,236,629,600,306,355,139,153,47,75,96,161,117,193,0,271
0500000US01097,01097,"Mobile County, Alabama",407588,3843,25797,1400,76278,1596,12013,982,28363,1309,30528,1120,27949,967,25686,2793,25332,2514,29116,773,29740,832,24624,1772,20877,1908,16140,1261,11627,1267,23518,493,352515,5303,21749,1481,66692,2342,7836,1045,20438,1344,24110,1276,22402,1329,22079,2582,22382,2603,25984,1198,26957,942,22960,1711,20117,1898,15224,1392,11319,1237,22266,702,40116,4770,2312,822,7720,2006,2325,797,5402,1194,4312,999,4417,1232,2524,1022,2397,892,2581,1050,1902,743,1434,702,718,310,750,489,308,305,1014,465,4981,1453,416,462,120,122,968,412,407,278,1061,705,681,428,176,148,62,77,164,184,437,388,230,192,42,68,114,125,0,271,103,124,9976,2210,1320,606,1746,990,884,432,2116,1066,1045,564,449,363,907,869,491,388,387,343,444,296,0,271,0,271,52,85,0,271,135,185
0500000US01101,01101,"Montgomery County, Alabama",217612,3928,12327,1256,39288,1243,5715,1268,17606,1129,17644,955,15335,979,13547,1641,14876,1739,15232,831,15571,681,12079,1258,10808,1290,8008,1127,6091,1100,13485,580,169739,6034,9176,1269,30830,2117,3946,1286,10252,1600,11082,1387,10440,1223,10053,1510,11403,1590,12869,1006,13315,629,11079,1313,10375,1257,7475,1116,5602,1068,11842,689,35096,5375,2309,937,6940,1988,640,462,6030,1388,4923,1472,3290,1167,2173,892,2730,1391,1920,657,1313,568,706,386,393,217,211,209,443,422,1075,507,7642,1783,580,441,837,620,1022,508,777,331,1017,602,971,558,971,552,376,279,63,77,530,515,85,122,40,64,80,95,0,271,293,308,5135,1565,262,234,681,382,107,178,547,518,622,399,634,470,350,265,367,338,380,294,413,355,209,341,0,271,242,285,46,74,275,277
