GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total living in area 1 year ago:,Margin of Error; Total living in area 1 year ago:,Estimate; Less than high school graduate,Margin of Error; Less than high school graduate,Estimate; High school graduate (includes equivalency),Margin of Error; High school graduate (includes equivalency),Estimate; Some college or associate's degree,Margin of Error; Some college or associate's degree,Estimate; Bachelor's degree,Margin of Error; Bachelor's degree,Estimate; Graduate or professional degree,Margin of Error; Graduate or professional degree,Estimate; Same house:,Margin of Error; Same house:,Estimate; Same house: - Less than high school graduate,Margin of Error; Same house: - Less than high school graduate,Estimate; Same house: - High school graduate (includes equivalency),Margin of Error; Same house: - High school graduate (includes equivalency),Estimate; Same house: - Some college or associate's degree,Margin of Error; Same house: - Some college or associate's degree,Estimate; Same house: - Bachelor's degree,Margin of Error; Same house: - Bachelor's degree,Estimate; Same house: - Graduate or professional degree,Margin of Error; Same house: - Graduate or professional degree,Estimate; Moved within same county:,Margin of Error; Moved within same county:,Estimate; Moved within same county: - Less than high school graduate,Margin of Error; Moved within same county: - Less than high school graduate,Estimate; Moved within same county: - High school graduate (includes equivalency),Margin of Error; Moved within same county: - High school graduate (includes equivalency),Estimate; Moved within same county: - Some college or associate's degree,Margin of Error; Moved within same county: - Some college or associate's degree,Estimate; Moved within same county: - Bachelor's degree,Margin of Error; Moved within same county: - Bachelor's degree,Estimate; Moved within same county: - Graduate or professional degree,Margin of Error; Moved within same county: - Graduate or professional degree,Estimate; Moved to different county within same state:,Margin of Error; Moved to different county within same state:,Estimate; Moved to different county within same state: - Less than high school graduate,Margin of Error; Moved to different county within same state: - Less than high school graduate,Estimate; Moved to different county within same state: - High school graduate (includes equivalency),Margin of Error; Moved to different county within same state: - High school graduate (includes equivalency),Estimate; Moved to different county within same state: - Some college or associate's degree,Margin of Error; Moved to different county within same state: - Some college or associate's degree,Estimate; Moved to different county within same state: - Bachelor's degree,Margin of Error; Moved to different county within same state: - Bachelor's degree,Estimate; Moved to different county within same state: - Graduate or professional degree,Margin of Error; Moved to different county within same state: - Graduate or professional degree,Estimate; Moved to different state:,Margin of Error; Moved to different state:,Estimate; Moved to different state: - Less than high school graduate,Margin of Error; Moved to different state: - Less than high school graduate,Estimate; Moved to different state: - High school graduate (includes equivalency),Margin of Error; Moved to different state: - High school graduate (includes equivalency),Estimate; Moved to different state: - Some college or associate's degree,Margin of Error; Moved to different state: - Some college or associate's degree,Estimate; Moved to different state: - Bachelor's degree,Margin of Error; Moved to different state: - Bachelor's degree,Estimate; Moved to different state: - Graduate or professional degree,Margin of Error; Moved to different state: - Graduate or professional degree
0500000US01003,01003,"Baldwin County, Alabama",119944,2100,14832,2249,31897,2804,37875,3033,25077,2875,10263,1522,107311,2474,12713,1932,29161,2667,33473,2927,22395,2724,9569,1413,7856,2219,1696,1039,1610,696,2632,1242,1441,750,477,434,2206,780,202,248,845,480,558,285,586,363,15,24,2571,924,221,293,281,218,1212,572,655,389,202,191
0500000US01015,01015,"Calhoun County, Alabama",76574,2422,15423,1690,25816,1923,23591,2528,6547,1061,5197,1031,66545,1827,12696,1391,22703,1987,20623,2147,5826,941,4697,909,6129,1370,1659,764,2126,646,1798,672,295,303,251,308,2489,1214,962,782,676,402,531,428,281,298,39,65,1411,727,106,129,311,385,639,545,145,174,210,220
0500000US01043,01043,"Cullman County, Alabama",54143,1905,11735,1701,19487,2207,15668,1953,4308,988,2945,837,48912,2063,10514,1622,17907,2255,13491,1757,4240,947,2760,851,3687,1215,1033,573,1021,620,1510,625,0,271,123,161,764,579,83,76,410,355,203,262,68,119,0,271,780,481,105,126,149,173,464,430,0,271,62,110
0500000US01051,01051,"Elmore County, Alabama",49400,1864,7795,1298,19140,1933,14204,1570,5274,1020,2987,800,42475,2220,5897,1115,16453,1852,12574,1460,4799,1032,2752,765,3396,1320,1190,761,944,859,1064,768,17,30,181,202,2918,975,662,336,1743,746,343,252,170,239,0,271,611,410,46,74,0,271,223,179,288,228,54,92
0500000US01055,01055,"Etowah County, Alabama",69184,2075,12236,1716,20604,2072,24439,2137,6798,1286,5107,1078,60264,1883,10521,1728,17797,1648,21579,1968,5868,1076,4499,950,6548,1567,1491,670,1988,1030,1764,650,697,717,608,510,1611,699,224,166,622,484,532,389,233,318,0,271,761,832,0,271,197,240,564,772,0,271,0,271
0500000US01069,01069,"Houston County, Alabama",65973,1162,11963,1198,22933,1492,18675,1266,7883,854,4519,682,59063,957,10478,1128,20912,1416,16655,1066,7029,703,3989,574,4237,791,829,305,1427,421,1159,325,479,230,343,252,1647,689,532,511,510,326,483,346,40,68,82,138,1026,636,124,148,84,91,378,346,335,450,105,174
0500000US01073,01073,"Jefferson County, Alabama",440011,3469,55549,4034,129788,5517,132539,5646,76208,4001,45927,2930,381307,5822,46323,3166,112643,4507,116888,5626,64522,3455,40931,2780,41512,4695,6727,1563,11550,2391,11937,2198,8829,2220,2469,753,10516,2232,1956,882,3821,1443,2385,831,1489,859,865,386,6676,1628,543,695,1774,776,1329,644,1368,536,1662,757
0500000US01077,01077,"Lauderdale County, Alabama",59054,1697,10386,1866,18272,1868,14968,1906,10155,1723,5273,1117,52567,1796,9045,1623,16053,1718,13492,1754,9166,1719,4811,1073,3875,1273,1080,510,1375,719,877,561,422,395,121,134,1251,540,162,269,394,367,346,282,216,175,133,153,1361,805,99,166,450,515,253,210,351,302,208,232
0500000US01081,01081,"Lee County, Alabama",72352,1520,11048,1693,19552,2292,19821,1545,12340,1473,9591,1442,62800,1856,9709,1654,16450,2223,17794,1549,10542,1435,8305,1335,5482,1208,830,502,2223,842,1319,491,550,240,560,300,2265,786,414,293,628,392,231,259,915,568,77,84,1805,732,95,161,251,194,477,347,333,221,649,349
0500000US01083,01083,"Limestone County, Alabama",50919,2012,10742,1768,16082,1820,14036,2016,6695,1297,3364,888,45603,1881,9675,1705,13715,1646,13529,2016,5618,1135,3066,806,2190,1039,412,251,1161,752,237,274,380,318,0,271,1887,815,432,371,960,651,244,312,191,188,60,105,1239,912,223,307,246,298,26,52,506,530,238,385
0500000US01089,01089,"Madison County, Alabama",203844,2776,23091,2720,46435,3252,57670,3083,50637,3302,26011,2531,181409,3065,20298,2552,41205,2839,50318,2799,45487,3137,24101,2390,14432,2597,1518,662,3774,1215,4820,1392,3259,903,1061,456,3875,1208,768,521,1061,618,1126,569,777,594,143,189,4128,1145,507,439,395,303,1406,762,1114,520,706,449
0500000US01095,01095,"Marshall County, Alabama",57768,1632,17342,1953,16410,1903,14941,1949,6149,1366,2926,782,50386,1792,14772,1945,13954,1774,13341,1941,5620,1273,2699,778,5072,1579,1924,959,1779,995,1196,482,68,111,105,122,1650,714,609,542,602,418,216,205,136,165,87,106,660,612,37,70,75,99,188,273,325,389,35,59
0500000US01097,01097,"Mobile County, Alabama",261618,2567,44450,3444,91884,4899,73815,3825,33761,2862,17708,2011,231131,3405,37636,3031,81762,4859,64620,3625,30902,2785,16211,1998,22543,2999,4624,1399,8218,1939,6445,1496,2301,738,955,511,3035,1000,779,463,784,493,1118,611,354,413,0,271,4909,1333,1411,694,1120,721,1632,765,204,221,542,503
0500000US01101,01101,"Montgomery County, Alabama",142690,1930,21777,1945,35640,2771,42388,2790,26690,2104,16195,1959,121561,2878,17678,1699,29924,2604,36849,2904,22792,2015,14318,1853,12696,2367,2988,1041,3071,1007,3360,1193,2513,737,764,394,5194,1384,744,489,2323,847,1023,561,773,415,331,282,3239,950,367,389,322,204,1156,615,612,388,782,396
0500000US01103,01103,"Morgan County, Alabama",78990,1769,12460,1638,25096,2338,25658,2192,11998,1635,3778,796,69502,2143,10596,1477,22399,2304,22403,2288,10612,1533,3492,805,5764,1630,757,350,1990,925,2373,848,459,275,185,187,3045,1002,965,579,655,525,506,318,818,492,101,142,679,446,142,207,52,85,376,313,109,134,0,271
0500000US01115,01115,"St. Clair County, Alabama",51972,2961,12798,2332,16770,2034,15850,2451,4585,1314,1969,746,46092,2778,10859,2145,15338,2115,13519,2210,4491,1319,1885,742,3127,1319,980,643,626,489,1437,1072,0,271,84,143,2348,950,835,479,578,402,841,504,94,158,0,271,405,368,124,169,228,218,53,86,0,271,0,271
0500000US01117,01117,"Shelby County, Alabama",120498,2832,8422,1370,26145,2467,34935,2300,35135,2840,15861,1479,106589,2192,7231,1341,22838,2223,30576,2073,31917,2769,14027,1457,5355,1421,509,390,860,434,2002,700,931,472,1053,713,5037,1553,509,347,1788,854,1225,628,1171,572,344,326,3517,1409,173,176,659,512,1132,674,1116,578,437,354
0500000US01121,01121,"Talladega County, Alabama",51626,2054,11871,1530,19070,1861,14172,1829,4739,1393,1774,652,44508,2295,10190,1490,17052,1776,11660,1671,3949,1261,1657,640,4465,1511,915,612,1224,645,1750,897,514,327,62,101,1895,926,672,584,540,376,571,382,112,172,0,271,758,377,94,157,254,213,191,249,164,158,55,106
0500000US01125,01125,"Tuscaloosa County, Alabama",108594,2032,18270,2107,34538,2714,26943,2156,17647,2265,11196,1628,94383,2646,15447,2081,30391,2837,23335,1994,15932,2004,9278,1475,9894,1965,1978,808,3442,1210,2862,1025,677,427,935,558,2145,882,502,385,527,344,268,196,178,204,670,557,2172,889,343,229,178,179,478,385,860,719,313,239
0500000US02020,02020,"Anchorage Municipality, Alaska",195623,5076,16467,2551,46004,3359,71788,4436,40005,2982,21359,2633,140464,3817,8685,1303,31051,2597,52354,3822,31277,2260,17097,2056,21568,2946,1659,850,6588,1630,8488,2030,3330,955,1503,587,3364,1188,637,343,420,198,1585,848,242,148,480,664,30227,4295,5486,1686,7945,2264,9361,2109,5156,1653,2279,879
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",60549,2236,5317,1457,15715,2460,21843,2405,10754,1812,6920,1343,45186,2243,3834,1306,11044,1986,16482,1915,8135,1553,5691,1281,7166,1891,329,277,2116,800,3394,1332,894,481,433,388,1131,646,58,69,343,247,366,303,319,221,45,78,7066,1524,1096,707,2212,833,1601,729,1406,797,751,503
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",51267,2403,4829,1393,16847,2106,20092,1957,6682,1034,2817,854,41824,2062,3490,825,13534,1822,16754,1529,5386,874,2660,851,4622,1309,302,208,1418,627,2359,1159,442,374,101,95,1718,910,231,321,340,410,650,505,441,460,56,94,3103,1940,806,1129,1555,1076,329,238,413,399,0,271
0500000US04001,04001,"Apache County, Arizona",40770,1489,12710,2520,13050,1842,11609,2123,1884,539,1517,714,37329,1242,12160,2519,11759,1954,10522,2109,1607,514,1281,589,1912,808,309,279,930,686,595,386,44,93,34,60,597,403,160,197,133,133,165,157,44,80,95,155,932,491,81,96,228,254,327,321,189,189,107,173
0500000US04003,04003,"Cochise County, Arizona",86268,2850,12243,1359,21457,2329,32398,2320,12965,1612,7205,1339,71415,2533,10222,1389,17104,1983,26935,2125,11023,1461,6131,1230,7011,1716,1045,597,1879,988,2656,913,909,454,522,357,4223,1376,759,554,1660,906,1300,635,243,239,261,322,3619,1307,217,206,814,511,1507,874,790,485,291,279
