GEO.id,GEO.id2,GEO.display-label,popchg4201072017,natinc4201072017,births4201072017,deaths4201072017,netmig4201072017,intlmig4201072017,dommig4201072017,popchg20162017,natinc20162017,births20162017,deaths20162017,netmig20162017,intlmig20162017,dommig20162017
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - Domestic"
310M300US10100,10100,"Aberdeen, SD Micro Area",2495,916,3940,3024,1584,704,880,241,172,566,394,72,81,-9
310M300US10140,10140,"Aberdeen, WA Micro Area",-107,-203,5702,5905,99,263,-164,1072,-53,764,817,1120,42,1078
310M300US10180,10180,"Abilene, TX Metro Area",4971,5210,17157,11947,-191,2520,-2711,486,658,2375,1717,-167,279,-446
310M300US10220,10220,"Ada, OK Micro Area",732,698,3897,3199,60,312,-252,-219,-8,502,510,-211,58,-269
310M300US10300,10300,"Adrian, MI Micro Area",-1269,499,7601,7102,-1765,219,-1984,113,70,1042,972,49,40,9
310M300US10420,10420,"Akron, OH Metro Area",302,3696,54644,50948,-3014,10413,-13427,949,204,7342,7138,770,1647,-877
310M300US10460,10460,"Alamogordo, NM Micro Area",2000,2406,6601,4195,-492,2900,-3392,633,375,976,601,261,374,-113
310M300US10500,10500,"Albany, GA Metro Area",-6066,4796,15175,10379,-10964,860,-11824,-1006,389,1881,1492,-1396,136,-1532
310M300US10540,10540,"Albany, OR Metro Area",8375,1912,10685,8773,6504,-31,6535,2347,254,1555,1301,2087,-3,2090
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",15468,9693,65757,56064,6220,18287,-12067,3387,868,8848,7980,2535,2650,-115
310M300US10620,10620,"Albemarle, NC Micro Area",896,-42,4826,4868,983,273,710,602,-13,680,693,615,47,568
310M300US10660,10660,"Albert Lea, MN Micro Area",-720,-132,2479,2611,-578,119,-697,132,-31,320,351,165,19,146
310M300US10700,10700,"Albertville, AL Micro Area",2529,1534,9444,7910,1077,663,414,505,189,1335,1146,322,78,244
310M300US10740,10740,"Albuquerque, NM Metro Area",23665,25754,76949,51195,-1692,7722,-9414,3849,2527,10175,7648,1362,1194,168
310M300US10760,10760,"Alexander City, AL Micro Area",-937,-443,3387,3830,-483,9,-492,107,-109,452,561,217,-2,219
