2010 Based Geography -- PUMA to POWPUMA/MIGPUMA Relationship,,,
,,,
State of Residence (ST),PUMA,Place of Work State (PWSTATE2) or Migration State (MIGPLAC1),PWPUMA00 or MIGPUMA1
1,100,1,190
1,200,1,290
1,301,1,290
1,302,1,290
1,400,1,400
1,500,1,290
1,600,1,600
1,700,1,700
1,800,1,800
1,900,1,900
1,1000,1,1000
1,1100,1,1100
1,1200,1,1200
1,1301,1,1300
1,1302,1,1300
1,1303,1,1300
1,1304,1,1300
1,1305,1,1300
1,1400,1,190
1,1500,1,1590
1,1600,1,1590
1,1700,1,1700
1,1800,1,1800
1,1900,1,1900
1,2000,1,2090
1,2100,1,2090
1,2200,1,2200
1,2300,1,2300
1,2400,1,2400
1,2500,1,2500
1,2600,1,2600
1,2701,1,2700
1,2702,1,2700
1,2703,1,2700
2,101,2,100
2,102,2,100
2,200,2,200
2,300,2,300
2,400,2,400
4,100,4,100
4,101,4,100
4,102,4,100
4,103,4,100
4,104,4,100
4,105,4,100
4,106,4,100
4,107,4,100
4,108,4,100
4,109,4,100
4,110,4,100
4,111,4,100
4,112,4,100
4,113,4,100
4,114,4,100
4,115,4,100
4,116,4,100
4,117,4,100
4,118,4,100
4,119,4,100
4,120,4,100
4,121,4,100
4,122,4,100
4,123,4,100
4,124,4,100
4,125,4,100
4,126,4,100
4,127,4,100
4,128,4,100
4,129,4,100
4,130,4,100
4,131,4,100
4,132,4,100
4,133,4,100
4,134,4,100
4,201,4,200
4,202,4,200
4,203,4,200
4,204,4,200
4,205,4,200
4,206,4,200
4,207,4,200
4,208,4,200
4,209,4,200
4,300,4,300
4,400,4,400
4,500,4,500
4,600,4,600
4,700,4,700
4,800,4,800
4,803,4,800
4,805,4,800
4,807,4,800
4,900,4,900
5,100,5,100
5,200,5,200
5,300,5,300
5,400,5,400
5,500,5,590
5,600,5,590
5,700,5,700
5,800,5,800
5,900,5,900
5,1000,5,900
5,1100,5,1100
5,1200,5,1200
5,1300,5,1300
5,1400,5,1400
5,1500,5,1500
5,1600,5,1600
5,1700,5,1790
5,1800,5,1790
5,1900,5,1900
5,2000,5,2000
6,101,6,100
6,102,6,100
6,103,6,100
6,104,6,100
6,105,6,100
6,106,6,100
6,107,6,100
6,108,6,100
6,109,6,100
6,110,6,100
6,300,6,300
6,701,6,700
6,702,6,700
6,1100,6,1100
6,1301,6,1300
6,1302,6,1300
6,1303,6,1300
6,1304,6,1300
6,1305,6,1300
6,1306,6,1300
6,1307,6,1300
6,1308,6,1300
6,1309,6,1300
6,1500,6,1500
6,1700,6,1700
6,1901,6,1900
6,1902,6,1900
6,1903,6,1900
6,1904,6,1900
6,1905,6,1900
6,1906,6,1900
6,1907,6,1900
6,2300,6,2300
6,2500,6,2500
6,2901,6,2900
6,2902,6,2900
6,2903,6,2900
6,2904,6,2900
6,2905,6,2900
6,3100,6,3100
6,3300,6,3300
6,3701,6,3700
6,3702,6,3700
6,3703,6,3700
6,3704,6,3700
6,3705,6,3700
6,3706,6,3700
6,3707,6,3700
6,3708,6,3700
6,3709,6,3700
6,3710,6,3700
6,3711,6,3700
6,3712,6,3700
6,3713,6,3700
6,3714,6,3700
6,3715,6,3700
6,3716,6,3700
6,3717,6,3700
6,3718,6,3700
6,3719,6,3700
6,3720,6,3700
6,3721,6,3700
6,3722,6,3700
6,3723,6,3700
6,3724,6,3700
6,3725,6,3700
6,3726,6,3700
6,3727,6,3700
6,3728,6,3700
6,3729,6,3700
6,3730,6,3700
6,3731,6,3700
6,3732,6,3700
6,3733,6,3700
6,3734,6,3700
6,3735,6,3700
6,3736,6,3700
6,3737,6,3700
6,3738,6,3700
6,3739,6,3700
6,3740,6,3700
6,3741,6,3700
6,3742,6,3700
6,3743,6,3700
6,3744,6,3700
6,3745,6,3700
6,3746,6,3700
6,3747,6,3700
6,3748,6,3700
6,3749,6,3700
6,3750,6,3700
6,3751,6,3700
6,3752,6,3700
6,3753,6,3700
6,3754,6,3700
6,3755,6,3700
6,3756,6,3700
6,3757,6,3700
6,3758,6,3700
6,3759,6,3700
6,3760,6,3700
6,3761,6,3700
6,3762,6,3700
6,3763,6,3700
6,3764,6,3700
6,3765,6,3700
6,3766,6,3700
6,3767,6,3700
6,3768,6,3700
6,3769,6,3700
6,3900,6,3900
6,4101,6,4100
6,4102,6,4100
6,4701,6,4700
6,4702,6,4700
6,5301,6,5300
6,5302,6,5300
6,5303,6,5300
6,5500,6,5500
6,5700,6,5700
6,5901,6,5900
6,5902,6,5900
6,5903,6,5900
6,5904,6,5900
6,5905,6,5900
6,5906,6,5900
6,5907,6,5900
6,5908,6,5900
6,5909,6,5900
6,5910,6,5900
6,5911,6,5900
6,5912,6,5900
6,5913,6,5900
6,5914,6,5900
6,5915,6,5900
6,5916,6,5900
6,5917,6,5900
6,5918,6,5900
6,6101,6,6100
6,6102,6,6100
6,6103,6,6100
6,6501,6,6500
6,6502,6,6500
6,6503,6,6500
6,6504,6,6500
6,6505,6,6500
6,6506,6,6500
6,6507,6,6500
6,6508,6,6500
6,6509,6,6500
6,6510,6,6500
6,6511,6,6500
6,6512,6,6500
6,6513,6,6500
6,6514,6,6500
6,6515,6,6500
6,6701,6,6700
6,6702,6,6700
6,6703,6,6700
6,6704,6,6700
6,6705,6,6700
6,6706,6,6700
6,6707,6,6700
6,6708,6,6700
6,6709,6,6700
6,6710,6,6700
6,6711,6,6700
6,6712,6,6700
6,7101,6,7100
6,7102,6,7100
6,7103,6,7100
6,7104,6,7100
6,7105,6,7100
6,7106,6,7100
6,7107,6,7100
6,7108,6,7100
6,7109,6,7100
6,7110,6,7100
6,7111,6,7100
6,7112,6,7100
6,7113,6,7100
6,7114,6,7100
6,7115,6,7100
6,7301,6,7300
6,7302,6,7300
6,7303,6,7300
6,7304,6,7300
6,7305,6,7300
6,7306,6,7300
