GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US01003,01003,"Baldwin County, Alabama",212628,*****,104698,1519,5860,483,6011,1432,8022,1166,4780,642,1969,344,953,626,638,343,3452,733,6528,695,6957,954,6496,1257,5473,1209,6674,599,6769,804,7165,1367,2372,796,4403,1144,3422,1178,3828,1051,5250,1034,3948,735,1779,616,1949,669,107930,1519,5478,378,6739,1016,5747,1090,3384,334,2321,1091,1193,919,873,907,3171,1204,5704,606,6236,923,7672,1453,6908,1384,6982,857,6895,477,7654,1321,3071,995,5576,1170,2809,655,4056,828,6186,955,4222,924,2970,974,2083,631
0500000US01015,01015,"Calhoun County, Alabama",114728,*****,55339,651,3469,409,3098,796,4112,770,2182,334,1652,577,589,399,749,436,2027,843,4119,665,3171,369,3726,831,3325,743,3495,451,3630,134,3098,681,1782,666,2563,726,1228,471,1438,467,2702,476,1301,430,1169,438,714,354,59389,651,3335,604,3196,643,3249,654,2359,308,1588,388,445,300,650,448,2446,475,4117,468,3696,562,4061,727,3174,739,3569,4,3755,161,4321,731,1890,639,2115,778,1516,462,1638,478,3432,633,1938,437,1131,483,1768,478
0500000US01043,01043,"Cullman County, Alabama",82755,*****,40972,517,2313,172,2292,651,2741,640,1939,234,1028,178,734,508,392,258,1646,677,2635,200,2647,282,1758,597,3243,598,2505,200,3138,491,3174,630,788,391,1398,500,1180,593,974,392,1960,578,1643,422,645,360,199,185,41783,517,2299,130,1924,610,3060,653,1524,138,645,381,412,285,326,284,1564,509,2834,310,2281,145,2250,599,2877,537,2766,242,2779,114,2909,695,1081,469,1977,644,691,317,1139,387,2898,475,1284,394,1407,477,856,397
0500000US01049,01049,"DeKalb County, Alabama",71617,*****,34602,1028,1888,473,2770,782,2170,689,1379,201,1025,805,1301,801,292,265,887,471,1951,205,2033,368,2104,580,2489,713,2210,260,2137,158,2468,657,1071,546,928,337,573,253,1537,525,1554,469,883,330,753,322,199,141,37015,1028,2304,666,2755,619,2559,643,1415,285,1349,643,334,372,566,309,1019,433,2295,350,1611,153,2875,673,1984,576,2347,372,2410,260,2881,476,939,326,907,381,1142,442,1202,473,1336,504,1650,377,687,344,448,195
0500000US01051,01051,"Elmore County, Alabama",81677,*****,39635,959,2667,443,2530,678,2570,937,1778,768,1103,341,815,496,418,349,972,490,3269,338,2293,380,2662,595,2678,717,2666,380,2723,392,2218,546,885,370,1889,524,880,457,1052,452,1450,522,1238,317,602,292,277,227,42042,959,2195,529,2079,662,2547,631,1729,602,1432,803,1061,1055,666,428,1333,933,2237,218,2558,517,2956,1152,3071,519,3188,458,2828,400,3852,508,603,362,1083,434,668,375,1325,511,1768,564,1071,369,1056,418,736,382
0500000US01055,01055,"Etowah County, Alabama",102755,*****,49230,739,2895,305,3783,689,2548,609,2022,398,1527,501,536,492,446,423,1817,604,3161,467,2729,242,2489,852,3564,783,3523,446,3097,309,2995,705,1659,587,2257,644,772,413,1846,630,2590,545,1426,496,748,431,800,370,53525,739,3005,337,3496,759,2592,710,1999,331,1059,301,581,396,597,427,2006,644,3312,451,3057,589,3423,750,3121,682,3907,311,3019,224,3070,744,1340,471,2916,865,979,384,2591,623,2546,541,1947,634,2070,613,892,419
0500000US01069,01069,"Houston County, Alabama",104346,*****,50125,235,3271,102,3309,440,3694,438,2263,87,1084,40,538,245,577,284,1767,320,3490,217,3153,139,3022,416,2935,401,3217,117,3587,273,3934,387,1082,275,1479,299,1036,277,1720,377,2049,292,1110,261,1037,235,771,222,54221,235,3026,115,3549,366,2950,370,2127,77,1016,54,655,333,881,316,1490,373,3834,172,3430,194,3153,449,3482,435,3509,103,3590,131,4044,359,1368,308,1858,323,1307,297,1885,310,2551,347,1680,304,1347,269,1489,297
0500000US01073,01073,"Jefferson County, Alabama",659197,*****,311204,854,21402,472,19635,1920,22819,1977,12081,310,8170,402,3595,1034,4121,1073,13830,1379,22954,409,21886,455,21441,1843,18117,1978,19422,410,19348,393,19293,1833,8770,1466,12507,1667,7473,1205,8274,1094,10740,1295,6594,996,4246,769,4486,841,347993,854,21086,533,21085,1926,20209,1878,12437,348,8614,498,5843,1127,3780,1252,12380,1379,24952,407,23981,626,24095,2092,19226,1917,21644,792,21863,453,23135,1943,9335,1211,15059,1298,8822,1262,10191,1136,13569,1554,10453,1257,7472,1309,8762,1217
0500000US01077,01077,"Lauderdale County, Alabama",92538,*****,43447,520,2486,306,2210,659,2589,611,1542,219,1418,404,768,552,240,207,2197,714,2870,551,2632,397,2604,874,2388,622,2932,433,2866,285,2998,635,838,410,1806,575,1154,394,1533,521,2090,636,1237,409,788,373,1261,511,49091,520,2368,275,2575,554,2601,565,2006,269,1564,342,1112,693,822,492,2115,838,2895,456,2859,491,2902,753,2386,585,2976,394,2992,328,3394,701,1586,580,1687,581,1380,481,1570,490,2593,666,2075,481,1803,597,830,353
