GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US01015,01015,"Calhoun County, Alabama",22605,734,10406,415,1053,125,1077,416,697,412,566,78,125,172,1137,513,779,485,647,431,1601,493,1177,283,381,210,595,313,342,271,229,238,12199,537,960,172,745,498,1068,502,585,265,454,275,1028,294,878,265,425,397,1705,462,1845,265,1082,117,553,274,438,247,433,277
0500000US01051,01051,"Elmore County, Alabama",15465,1369,7772,1157,299,327,372,311,957,629,55,81,684,420,959,442,912,274,611,360,1313,502,805,544,319,145,211,148,261,215,14,25,7693,422,335,335,595,441,568,433,771,81,242,381,923,437,320,234,744,375,1184,405,995,265,407,146,347,174,192,164,70,94
0500000US01055,01055,"Etowah County, Alabama",15060,148,7094,280,555,219,709,390,589,390,720,200,286,180,747,276,214,250,1134,378,734,341,321,225,683,196,208,136,194,159,0,265,7966,297,531,219,560,279,811,279,176,190,106,127,877,311,455,301,478,265,1076,395,1125,411,722,265,611,254,306,213,132,137
0500000US01069,01069,"Houston County, Alabama",24694,273,11424,108,1071,43,1119,293,1030,291,685,63,365,265,872,265,876,265,729,265,1401,265,1438,31,951,265,510,265,188,91,189,91,13270,222,1084,265,1007,335,1063,341,680,265,336,265,1025,163,1126,265,940,265,1795,92,1689,69,1121,265,751,265,403,105,250,105
0500000US01073,01073,"Jefferson County, Alabama",271412,1059,124598,496,10658,265,10333,1389,11425,1383,7061,106,4125,265,9923,75,9110,265,7939,265,16223,265,17538,185,11152,196,5221,265,3112,285,778,285,146814,890,10491,148,9907,1367,10963,1340,6756,276,4129,265,10891,295,10456,168,9708,107,20767,157,22504,433,13925,265,8017,81,6089,510,2211,510
0500000US01077,01077,"Lauderdale County, Alabama",8864,734,3889,542,503,444,278,310,213,250,137,151,118,200,731,226,40,71,433,358,407,365,493,352,354,226,182,205,0,265,0,265,4975,607,370,429,234,261,475,310,430,317,451,355,461,422,192,239,321,338,457,280,633,457,587,268,92,134,192,174,80,118
0500000US01081,01081,"Lee County, Alabama",29169,404,13822,112,1049,17,1219,529,1165,529,859,16,577,311,1475,314,1081,34,981,458,1823,458,1789,265,1025,85,525,235,40,43,214,228,15347,384,1037,265,1135,387,1259,387,586,280,407,233,1728,233,1261,49,1093,265,2157,265,2074,254,1238,265,770,265,331,200,271,206
0500000US01089,01089,"Madison County, Alabama",71811,879,34124,627,2366,375,2643,750,3360,763,1864,265,1827,109,3709,265,2705,265,2263,265,4445,265,4306,293,2647,265,1280,265,603,97,106,97,37687,539,2667,74,1964,494,3368,538,1723,137,1953,45,3959,244,3144,98,2542,265,5426,130,4917,222,3174,90,1670,265,750,171,430,171
0500000US01097,01097,"Mobile County, Alabama",139567,1290,64054,717,6093,265,6177,1119,6596,1061,3828,92,2092,265,5007,196,4598,526,3534,265,7434,160,8606,265,5327,78,2915,265,1607,181,240,181,75513,752,5907,195,5732,723,6327,731,4075,163,2222,265,5688,265,5836,121,4443,342,9473,91,10807,279,6768,265,4318,265,2715,395,1202,408
0500000US01101,01101,"Montgomery County, Alabama",118676,718,55104,389,4993,140,5306,751,4285,784,3385,28,2414,265,5247,250,4528,218,3902,99,7216,265,6455,229,4173,70,1967,265,1069,154,164,154,63572,558,4932,163,4253,849,5506,785,3035,121,2447,110,6198,71,5008,265,4192,74,8722,64,8721,111,4864,110,3004,265,1929,320,761,320
0500000US01103,01103,"Morgan County, Alabama",13997,634,7048,419,722,200,168,179,1028,230,441,269,383,300,224,190,350,307,124,152,1881,561,816,419,473,279,238,219,200,217,0,265,6949,552,314,154,779,301,546,295,265,268,523,479,245,408,610,628,169,254,1202,344,1028,347,491,281,461,316,316,272,0,265
0500000US01117,01117,"Shelby County, Alabama",17155,583,8245,467,222,203,1099,493,906,491,203,190,922,674,0,265,926,674,1025,410,1002,458,955,397,634,320,230,326,121,143,0,265,8910,419,114,154,936,343,894,323,163,172,142,171,676,439,1443,510,443,317,1822,457,1113,448,779,276,164,156,123,146,98,171
0500000US01121,01121,"Talladega County, Alabama",24428,1183,11880,709,454,405,893,492,887,459,746,365,946,425,1318,421,395,288,914,468,1779,545,1628,399,1092,265,615,232,144,169,69,131,12548,939,841,573,905,508,820,489,594,365,830,542,914,473,594,377,842,572,1853,569,1870,78,1193,79,716,98,465,164,111,129
0500000US01125,01125,"Tuscaloosa County, Alabama",51966,392,23460,377,1946,140,1937,756,2147,768,1264,265,1043,265,2438,265,2048,265,1465,265,2828,93,3044,265,1770,265,844,296,536,277,150,138,28506,86,1906,35,2371,577,1821,577,1290,265,949,441,3623,441,2556,77,1814,28,3585,34,3756,265,2249,265,1310,265,875,238,401,238
0500000US02020,02020,"Anchorage Municipality, Alaska",15400,1807,8764,1354,283,385,1102,667,613,572,370,311,69,113,776,629,848,507,1089,681,1073,688,1636,638,641,248,53,92,211,245,0,235,6636,808,429,386,110,183,89,181,279,445,407,581,861,529,456,421,656,589,821,647,1575,721,575,232,59,102,227,211,92,157
0500000US04013,04013,"Maricopa County, Arizona",154746,4909,79306,2725,7049,1302,6517,1348,8330,1563,3883,641,2467,329,6555,461,6336,493,6034,562,12511,499,10008,284,5517,171,2565,229,1338,205,196,205,75440,3076,6088,1057,6905,1169,6368,1147,3865,736,1799,378,5724,361,5868,505,6106,367,11774,710,9520,256,5729,414,3184,118,1772,469,738,469
0500000US04019,04019,"Pima County, Arizona",29119,1717,15701,1033,1032,573,937,428,1356,412,802,376,561,413,1682,442,1228,75,1169,215,2134,223,2271,369,1343,296,912,191,165,121,109,131,13418,1331,824,528,637,447,1348,565,889,408,531,491,930,499,878,300,1007,520,1719,605,1875,61,1187,291,900,456,410,293,283,301
0500000US05031,05031,"Craighead County, Arkansas",9588,995,4559,732,491,319,409,264,610,492,206,248,538,400,271,352,0,257,236,238,1038,394,455,353,224,154,81,146,0,257,0,257,5029,635,895,452,180,264,274,206,231,256,678,445,445,315,449,464,252,200,854,468,301,271,381,233,0,257,89,147,0,257
