GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US01003,01003,"Baldwin County, Alabama",23049,1049,11610,448,706,702,1300,731,1579,927,513,264,186,258,1338,462,715,459,832,663,988,541,1429,691,988,571,1020,570,0,192,16,35,11439,1091,0,192,645,382,1067,322,669,264,1214,606,339,359,560,535,439,380,2703,1419,1293,771,406,306,1439,438,392,367,273,178
0500000US01015,01015,"Calhoun County, Alabama",22709,1366,10587,686,395,276,871,389,715,416,729,249,545,316,1235,405,433,237,728,381,1298,381,1295,31,1388,42,642,262,313,262,0,192,12122,876,771,254,730,372,840,379,201,197,682,359,912,440,951,155,734,467,1898,568,1300,480,1647,192,800,60,562,120,94,120
0500000US01051,01051,"Elmore County, Alabama",17971,230,8683,575,459,558,179,225,1233,709,305,241,648,393,966,481,545,359,471,258,1242,507,1351,494,786,252,417,260,64,105,17,29,9288,531,662,628,275,316,1514,375,169,193,174,237,522,520,1001,530,664,393,1409,393,1248,27,891,192,519,183,201,186,39,84
0500000US01055,01055,"Etowah County, Alabama",17335,637,8046,513,575,215,641,422,553,352,338,263,283,198,769,198,574,89,290,224,1211,421,989,396,1053,192,638,195,63,104,69,117,9289,555,741,219,633,431,514,305,231,155,191,193,864,203,633,40,78,125,1771,151,1158,141,1248,97,772,322,411,322,44,95
0500000US01069,01069,"Houston County, Alabama",27689,586,12775,300,1052,137,1271,307,934,255,713,28,368,192,1029,192,936,35,898,108,1512,26,1485,24,1410,192,774,192,337,46,56,46,14914,372,1093,47,1099,306,1095,319,576,152,350,32,1060,53,1187,192,1114,63,2118,123,1869,95,1738,84,945,19,447,87,223,85
0500000US01073,01073,"Jefferson County, Alabama",282511,2538,128971,1470,9894,515,10097,1380,10492,1332,6225,236,3546,162,10248,70,9566,186,8613,376,16139,394,15747,192,16052,192,8333,149,3472,278,547,278,153540,1380,9864,477,9401,1052,10447,1170,6294,258,3317,306,10812,328,11607,143,10997,272,20005,380,19849,135,21519,247,11182,110,5590,542,2656,542
0500000US01077,01077,"Lauderdale County, Alabama",9741,487,4566,554,360,216,424,289,265,171,162,144,0,192,636,709,0,192,0,192,493,360,1256,639,509,281,112,181,82,132,267,262,5175,632,352,216,339,335,278,336,242,261,135,210,579,428,315,359,466,338,292,221,956,221,508,258,499,271,66,79,148,143
0500000US01081,01081,"Lee County, Alabama",36539,898,16331,776,934,460,1455,609,1344,609,815,192,1520,868,1457,661,822,535,1009,141,2218,656,1733,569,1817,192,876,183,268,172,63,83,20208,642,1417,450,888,382,1851,382,696,259,1084,654,1855,660,1494,183,935,575,3277,580,2634,192,2186,192,1124,192,487,196,280,196
0500000US01083,01083,"Limestone County, Alabama",12229,1127,6113,566,316,279,300,337,0,192,36,77,380,440,481,316,622,335,267,257,964,357,1401,361,326,233,763,321,250,224,7,12,6116,975,420,264,406,345,498,428,357,428,91,154,406,344,554,483,241,241,836,435,880,411,766,108,317,220,100,130,244,240
