"GEO_ID","NAME","B01001B_001E","B01001B_001M","B01001B_002E","B01001B_002M","B01001B_003E","B01001B_003M","B01001B_004E","B01001B_004M","B01001B_005E","B01001B_005M","B01001B_006E","B01001B_006M","B01001B_007E","B01001B_007M","B01001B_008E","B01001B_008M","B01001B_009E","B01001B_009M","B01001B_010E","B01001B_010M","B01001B_011E","B01001B_011M","B01001B_012E","B01001B_012M","B01001B_013E","B01001B_013M","B01001B_014E","B01001B_014M","B01001B_015E","B01001B_015M","B01001B_016E","B01001B_016M","B01001B_017E","B01001B_017M","B01001B_018E","B01001B_018M","B01001B_019E","B01001B_019M","B01001B_020E","B01001B_020M","B01001B_021E","B01001B_021M","B01001B_022E","B01001B_022M","B01001B_023E","B01001B_023M","B01001B_024E","B01001B_024M","B01001B_025E","B01001B_025M","B01001B_026E","B01001B_026M","B01001B_027E","B01001B_027M","B01001B_028E","B01001B_028M","B01001B_029E","B01001B_029M","B01001B_030E","B01001B_030M","B01001B_031E","B01001B_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"0500000US01003","Baldwin County, Alabama","20554","446","10582","1101","145","172","174","206","2314","767","920","656","21","32","390","465","606","574","988","590","1271","970","1630","920","1053","466","896","418","174","172","0","201","9972","965","571","701","406","405","489","491","654","288","314","398","1039","943","480","546","734","926","1542","651","1061","652","1391","201","1106","279","185","279","0","201"
"0500000US01015","Calhoun County, Alabama","24737","642","11533","761","1105","452","740","399","811","392","436","303","594","339","967","339","975","74","1115","522","1294","518","962","340","1260","181","882","303","226","265","166","179","13204","684","738","455","709","451","1083","461","617","299","137","238","1232","632","1207","596","1476","732","1301","654","1206","336","1706","130","1172","387","287","200","333","375"
"0500000US01051","Elmore County, Alabama","17113","1682","9054","1206","809","556","201","251","561","600","679","743","107","197","1031","660","1134","677","1124","507","1151","470","911","183","887","53","417","211","42","62","0","201","8059","1062","84","155","0","201","276","326","780","804","342","468","608","522","1040","659","756","626","838","739","1938","855","917","202","461","376","19","35","0","201"
"0500000US01055","Etowah County, Alabama","17474","1256","7997","588","687","285","699","285","285","261","146","207","102","149","1452","734","679","576","215","277","1150","488","854","460","840","182","604","228","269","205","15","32","9477","1026","835","495","997","429","491","328","252","302","159","223","833","444","569","412","941","421","992","429","908","385","1196","86","794","67","144","167","366","167"
"0500000US01069","Houston County, Alabama","29214","471","13673","260","1112","111","1186","259","1182","288","750","39","401","23","969","58","1008","58","1013","72","1596","40","1542","60","1465","40","971","201","420","55","58","55","15541","279","974","120","1004","206","1091","212","680","33","332","178","1035","191","1251","50","1131","201","2231","21","1937","30","1885","32","1196","39","535","142","259","142"
"0500000US01073","Jefferson County, Alabama","282596","2292","128946","1356","9702","341","10785","1383","9411","1423","6116","95","3491","444","9116","679","10745","91","8572","191","15939","107","14846","228","15905","328","9879","180","3655","348","784","342","153650","1359","9251","584","10927","1367","8603","1382","5764","344","3899","93","9462","481","11715","341","11106","201","20631","247","19058","326","21078","329","13653","135","6441","591","2062","585"
"0500000US01077","Lauderdale County, Alabama","9614","234","4809","306","194","142","474","308","565","395","284","227","42","77","308","285","457","317","164","212","712","419","632","574","627","298","236","241","114","194","0","201","4805","290","383","195","162","159","142","157","120","131","260","304","342","311","545","336","396","344","597","323","562","323","725","296","284","215","134","167","153","136"
"0500000US01081","Lee County, Alabama","38323","1324","17389","1239","1165","839","1403","804","2419","1095","86","160","1358","726","2062","772","478","404","1001","661","1315","645","2733","985","1955","201","1258","260","156","235","0","201","20934","771","865","564","860","528","2385","816","1105","716","1004","381","1741","393","1646","125","1578","118","2276","803","3078","838","2208","286","1798","344","113","167","277","316"
"0500000US01083","Limestone County, Alabama","13504","464","7277","645","46","64","630","270","599","288","510","262","42","81","186","182","662","317","1026","349","1319","404","979","404","770","568","133","165","375","297","0","201","6227","721","230","248","163","197","291","240","443","302","535","508","224","290","243","278","307","299","1251","333","717","321","937","656","639","531","247","279","0","201"
