GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US01003,01003,"Baldwin County, Alabama",168668,407,82110,32,4170,32,5132,969,4770,969,3177,192,1732,192,4177,192,4358,192,4529,192,10032,192,11545,192,11654,192,10315,192,5119,591,1400,591,86558,406,3996,192,4493,1024,4985,983,2956,166,1611,894,4113,894,4616,192,4726,192,10489,192,12072,97,13258,192,11359,192,4929,931,2955,931
0500000US01015,01015,"Calhoun County, Alabama",83797,166,40740,57,2156,192,2364,658,2460,658,1643,22,936,192,2532,192,2714,54,2458,192,5037,192,5722,192,5889,192,4283,192,1953,255,593,255,43057,117,1869,116,2043,504,2341,504,1564,25,1249,604,2228,604,2821,192,2512,192,5061,192,5849,192,6422,192,5047,192,2924,430,1127,430
0500000US01043,01043,"Cullman County, Alabama",77427,296,38156,209,2194,192,1385,678,3354,693,1575,12,832,14,2317,16,2526,192,2289,17,4772,97,5319,137,5227,43,4018,46,1880,280,468,279,39271,210,2200,192,2248,485,2294,482,1486,34,1105,510,1926,507,2473,192,2247,192,4725,70,5241,70,5402,72,4461,151,2739,398,724,387
0500000US01049,01049,"DeKalb County, Alabama",57321,192,28087,192,1443,192,1485,532,2010,532,1241,192,570,192,1728,192,1589,192,1572,192,3558,192,4102,192,4047,192,3077,192,1395,181,270,181,29234,192,1305,192,2085,458,1220,458,1086,192,534,192,1674,192,1582,192,1615,192,3669,192,4180,192,4243,192,3449,192,1897,346,695,346
0500000US01051,01051,"Elmore County, Alabama",59646,197,28789,91,1673,192,1872,426,1823,426,1167,192,601,192,1786,192,1760,192,1659,192,3722,192,4123,91,3892,192,3082,192,1397,169,232,169,30857,109,1464,192,1865,659,1712,659,1130,192,545,192,1816,192,1991,192,1925,192,4197,192,4474,109,4282,192,3227,192,1484,347,745,347
0500000US01055,01055,"Etowah County, Alabama",80591,192,39006,192,2085,192,2784,576,1772,576,1588,192,851,192,2288,192,2274,192,2195,192,4875,192,5602,192,5726,192,4387,192,2242,221,337,221,41585,192,1963,192,1208,460,3164,460,1515,192,722,192,2255,192,2375,192,2296,192,5218,192,5749,192,6001,192,5098,192,2634,463,1387,463
0500000US01069,01069,"Houston County, Alabama",70029,192,33873,192,1842,192,1430,329,2810,329,1298,192,684,192,1776,192,2066,192,2132,192,4225,192,4868,192,4732,192,3665,192,1877,150,468,150,36156,192,1722,192,1950,333,1835,333,1294,192,623,192,1876,192,2232,192,2138,192,4436,192,4889,192,5311,192,4266,192,2572,246,1012,246
0500000US01073,01073,"Jefferson County, Alabama",333633,275,160663,275,9287,192,9232,1110,8801,1110,5520,192,3693,192,9249,235,11498,192,11339,192,20603,74,22159,192,23060,116,15473,192,7361,707,3388,707,172970,192,8581,192,9573,1161,7743,1161,5468,192,3754,192,9914,192,12141,192,11340,192,20359,192,22701,192,24845,192,18379,192,11044,992,7128,992
0500000US01077,01077,"Lauderdale County, Alabama",78378,85,37684,192,2012,192,1897,788,2273,788,1414,192,923,698,3220,698,2253,192,2157,192,4227,192,5149,192,5312,192,4132,192,2065,341,650,341,40694,85,1713,192,3008,451,1074,451,1413,192,873,329,3541,329,2156,192,2177,192,4472,192,5404,192,5957,192,4796,192,3240,440,870,435
