GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US01073,01073,"Jefferson County, Alabama",15187,*****,8885,360,1064,*****,327,209,806,209,208,177,141,147,1109,147,1402,*****,1282,*****,1846,156,200,156,413,307,0,270,0,270,87,146,6302,360,903,*****,649,285,439,285,309,176,334,288,281,213,755,388,575,385,1136,500,400,314,204,242,108,164,209,259,0,270
0500000US01089,01089,"Madison County, Alabama",6562,*****,3113,220,148,121,314,194,282,194,146,74,66,83,236,172,466,186,449,288,334,226,477,332,96,117,40,67,59,100,0,270,3449,220,428,121,400,131,145,197,214,159,112,130,296,164,156,118,478,368,551,340,556,316,59,96,54,90,0,270,0,270
0500000US02020,02020,"Anchorage Municipality, Alaska",18584,*****,9705,834,1657,726,805,327,1173,327,330,253,515,391,836,420,711,452,676,499,1119,590,1265,612,450,137,168,137,0,233,0,233,8879,834,888,726,1177,450,723,450,702,252,665,395,519,311,558,372,745,*****,1313,390,853,390,426,172,152,132,158,139,0,233
0500000US04003,04003,"Cochise County, Arizona",38031,*****,18048,*****,1939,*****,2066,504,1684,504,1207,*****,558,458,1491,621,992,549,776,478,2241,478,2126,2,1300,*****,974,*****,559,127,135,127,19983,*****,1890,*****,1870,564,1852,564,1163,*****,762,*****,1640,*****,1167,*****,1145,*****,2521,*****,2391,291,1512,*****,1202,*****,732,199,136,199
0500000US04005,04005,"Coconino County, Arizona",14410,*****,7580,469,659,421,711,249,627,249,477,190,355,418,165,192,1199,478,299,293,1249,569,816,459,607,243,169,154,162,168,85,140,6830,468,935,421,510,268,813,267,305,190,94,140,556,402,830,435,492,*****,967,387,747,387,403,196,39,66,63,115,76,122
0500000US04013,04013,"Maricopa County, Arizona",1047360,*****,551274,*****,68561,*****,56788,3434,54449,3434,26563,*****,16734,*****,50965,*****,64129,*****,55551,*****,78646,*****,43486,4,21156,*****,9679,*****,3904,400,663,400,496086,*****,65417,*****,56963,3627,49499,3626,25552,*****,15602,*****,41740,*****,49561,*****,45732,*****,66349,*****,40127,4,21634,*****,11078,*****,5838,465,994,465
0500000US04015,04015,"Mohave County, Arizona",24088,*****,12268,294,1157,*****,955,553,1716,553,756,295,526,303,822,303,1055,*****,947,*****,1621,502,1243,502,686,*****,421,220,329,225,34,60,11820,294,1162,*****,1592,425,901,425,597,294,35,61,1419,442,802,436,970,*****,1303,512,1468,512,741,*****,482,236,324,239,24,45
0500000US04019,04019,"Pima County, Arizona",291359,*****,143153,*****,15715,*****,13644,1690,15200,1690,8059,*****,4934,*****,12336,*****,12124,*****,11329,*****,19068,*****,14578,2,8397,*****,4878,*****,2506,345,385,345,148206,*****,15377,*****,13940,1427,13610,1427,7564,*****,4971,*****,12927,*****,12402,*****,11215,*****,19934,*****,15746,3,9736,*****,6251,*****,3692,380,841,381
0500000US04021,04021,"Pinal County, Arizona",62380,*****,32385,*****,2935,*****,4026,887,2831,886,1847,*****,1163,*****,2957,*****,3035,*****,2658,*****,4222,*****,3156,2,1875,*****,1254,286,426,286,0,291,29995,*****,2692,*****,3872,639,2567,639,1825,*****,369,273,3391,273,2478,*****,2381,*****,3912,*****,2828,2,1868,*****,934,422,878,422,0,291
