GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US01073,01073,"Jefferson County, Alabama",23632,*****,13415,540,2170,*****,1109,459,1062,459,492,225,110,120,1344,120,1439,*****,1567,*****,1466,480,1387,480,774,609,495,520,0,273,0,273,10217,540,2076,*****,1018,366,1077,366,427,225,90,144,439,284,1189,295,564,360,1554,449,951,385,436,268,249,293,0,273,147,240
0500000US01089,01089,"Madison County, Alabama",10382,*****,5453,553,793,384,606,213,358,213,120,97,335,322,519,265,401,274,557,279,717,284,390,246,657,257,0,273,0,273,0,273,4929,553,889,384,1041,198,67,78,206,139,184,185,234,195,401,157,233,157,350,224,856,224,190,144,165,157,72,92,41,73
0500000US01095,01095,"Marshall County, Alabama",11029,*****,6063,279,1361,*****,870,270,447,270,200,146,247,172,436,172,593,*****,558,383,678,457,477,444,196,230,0,273,0,273,0,273,4966,279,1257,*****,527,265,681,265,325,146,106,138,266,195,392,222,404,355,564,365,301,236,39,70,62,123,42,79,0,273
0500000US01101,01101,"Montgomery County, Alabama",4766,*****,2139,555,579,407,136,93,140,95,112,92,0,273,240,252,393,199,123,115,262,192,84,90,70,87,0,273,0,273,0,273,2627,555,568,407,307,173,397,163,0,273,47,57,188,84,123,71,130,123,362,186,307,145,0,273,120,121,78,105,0,273
0500000US01117,01117,"Shelby County, Alabama",8221,*****,4880,395,1030,332,363,234,436,234,72,80,49,75,513,204,351,189,724,368,871,362,217,148,171,114,83,96,0,273,0,273,3341,395,487,332,536,331,322,235,126,119,84,139,313,229,350,216,242,246,597,194,174,179,38,59,36,62,36,62,0,273
0500000US02020,02020,"Anchorage Municipality, Alaska",24268,*****,12226,257,1412,*****,1067,461,1375,461,284,258,374,566,1763,698,973,612,1070,718,1541,661,1450,756,521,246,306,245,90,109,0,244,12042,257,1464,*****,939,326,1359,326,820,258,644,333,712,333,1123,*****,983,*****,1804,329,1000,329,611,231,328,253,203,168,52,89
0500000US04003,04003,"Cochise County, Arizona",41581,*****,20201,*****,2127,*****,1074,455,2505,455,1185,*****,909,*****,1754,*****,1296,*****,1000,*****,2581,529,2052,529,1756,*****,999,*****,850,162,113,162,21380,*****,1959,*****,1685,466,1883,467,1206,*****,1216,602,1261,601,1321,*****,1083,*****,2612,*****,2734,*****,1904,*****,1271,*****,967,307,278,307
0500000US04005,04005,"Coconino County, Arizona",16712,*****,8559,536,1068,398,1046,420,653,420,365,384,244,189,1297,467,511,449,936,462,1092,432,408,291,687,172,96,117,156,147,0,305,8153,536,1065,398,817,500,1144,465,104,162,163,204,887,349,806,358,949,443,884,426,361,350,556,219,380,214,37,63,0,305
0500000US04013,04013,"Maricopa County, Arizona",1280646,*****,678597,*****,82243,*****,73266,3728,61236,3728,34437,*****,21997,*****,56524,*****,69811,*****,69523,*****,102133,*****,59815,*****,28802,*****,12242,*****,5711,348,857,349,602049,*****,79254,*****,68420,3698,59621,3698,31892,*****,19494,*****,47247,*****,54117,*****,52785,*****,83454,*****,53209,*****,28952,*****,13906,*****,6612,1081,3086,1081
