"GEO_ID","NAME","B01001I_001E","B01001I_001M","B01001I_002E","B01001I_002M","B01001I_003E","B01001I_003M","B01001I_004E","B01001I_004M","B01001I_005E","B01001I_005M","B01001I_006E","B01001I_006M","B01001I_007E","B01001I_007M","B01001I_008E","B01001I_008M","B01001I_009E","B01001I_009M","B01001I_010E","B01001I_010M","B01001I_011E","B01001I_011M","B01001I_012E","B01001I_012M","B01001I_013E","B01001I_013M","B01001I_014E","B01001I_014M","B01001I_015E","B01001I_015M","B01001I_016E","B01001I_016M","B01001I_017E","B01001I_017M","B01001I_018E","B01001I_018M","B01001I_019E","B01001I_019M","B01001I_020E","B01001I_020M","B01001I_021E","B01001I_021M","B01001I_022E","B01001I_022M","B01001I_023E","B01001I_023M","B01001I_024E","B01001I_024M","B01001I_025E","B01001I_025M","B01001I_026E","B01001I_026M","B01001I_027E","B01001I_027M","B01001I_028E","B01001I_028M","B01001I_029E","B01001I_029M","B01001I_030E","B01001I_030M","B01001I_031E","B01001I_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"0500000US01003","Baldwin County, Alabama","10132","*****","4995","511","531","316","217","238","889","238","110","124","0","201","266","419","437","410","225","226","986","573","774","584","324","279","236","268","0","201","0","201","5137","511","586","316","254","250","776","250","376","124","369","353","90","151","680","458","89","144","735","424","371","260","438","339","140","162","233","265","0","201"
"0500000US01069","Houston County, Alabama","3600","*****","1991","150","247","92","257","156","185","135","54","71","40","56","225","91","67","63","403","145","173","115","93","87","145","86","67","67","18","29","17","28","1609","151","141","93","179","151","145","139","132","120","66","117","180","177","171","136","141","159","201","147","56","68","17","31","106","64","39","43","35","45"
"0500000US01073","Jefferson County, Alabama","26246","*****","14156","370","1853","*****","2826","420","352","420","882","370","140","174","1241","174","1089","*****","1135","*****","2421","656","1048","657","1029","162","0","201","65","120","75","123","12090","370","1737","*****","1224","717","1797","718","346","370","415","287","801","287","898","*****","935","*****","1360","537","1467","538","674","243","237","180","60","107","139","164"
"0500000US01089","Madison County, Alabama","18577","*****","9453","612","997","*****","1689","368","313","368","487","285","259","276","781","276","719","*****","876","*****","2059","445","334","445","635","445","231","333","73","117","0","201","9124","612","929","*****","1066","497","884","497","462","285","279","267","190","170","1095","304","751","*****","1232","431","948","431","424","361","638","467","226","313","0","201"
"0500000US01095","Marshall County, Alabama","13768","*****","7153","680","665","577","684","353","1198","353","552","243","368","381","677","303","280","259","90","87","1421","557","821","549","121","138","91","138","185","159","0","201","6615","680","1519","577","816","309","913","309","255","242","215","273","221","302","480","343","107","78","1040","362","630","355","140","186","92","139","187","159","0","201"
"0500000US01097","Mobile County, Alabama","12648","*****","6011","672","512","232","257","238","910","572","406","432","101","222","506","233","412","241","633","512","812","553","869","589","365","274","228","315","0","201","0","201","6637","672","521","232","1001","545","241","232","285","355","0","201","888","517","366","364","90","140","1107","648","738","564","670","472","195","244","200","339","335","322"
"0500000US01101","Montgomery County, Alabama","7937","*****","4312","491","856","391","609","549","598","381","297","204","132","160","185","159","305","174","197","176","772","239","208","189","80","128","73","116","0","201","0","201","3625","491","592","390","521","309","218","331","222","211","97","125","114","110","284","150","163","157","461","335","354","414","481","198","69","124","49","85","0","201"
"0500000US02020","Anchorage Municipality, Alaska","27107","*****","13461","174","1498","*****","995","637","1496","637","251","174","800","413","1300","413","1556","*****","228","217","1915","729","2012","752","677","275","425","236","308","246","0","157","13646","174","1578","*****","1870","498","580","498","995","174","511","296","1090","296","1229","*****","570","379","2179","725","1426","694","890","*****","511","185","217","185","0","157"
"0500000US02170","Matanuska-Susitna Borough, Alaska","5447","*****","2770","294","64","102","488","236","259","199","180","138","99","134","268","212","142","135","275","181","343","217","296","217","262","89","66","90","28","56","0","157","2677","294","309","230","81","89","183","153","434","145","149","134","258","133","59","65","228","150","526","191","171","131","196","122","83","93","0","157","0","157"
"0500000US04003","Cochise County, Arizona","45172","*****","22555","*****","1842","*****","2252","694","1632","694","1193","*****","671","320","2014","319","1874","*****","1137","365","3279","365","2208","*****","2023","*****","1467","*****","963","2","0","211","22617","*****","1891","*****","2012","618","1762","618","1142","*****","798","*****","1558","*****","1575","*****","1434","*****","2686","*****","2368","*****","2378","*****","1680","*****","1110","233","223","233"
"0500000US04005","Coconino County, Arizona","20389","*****","10538","749","492","367","393","388","1615","464","599","320","1143","609","981","608","1031","*****","691","562","898","599","1294","655","752","259","492","242","116","128","41","73","9851","748","738","512","594","439","986","438","342","320","1720","563","1227","458","244","225","272","254","966","470","1226","451","867","310","267","213","285","286","117","144"
"0500000US04013","Maricopa County, Arizona","1379637","*****","691844","*****","64312","*****","63488","3001","69381","3000","38761","*****","25448","*****","60983","*****","61543","*****","53398","*****","96738","*****","75725","*****","48037","*****","22920","*****","9139","688","1971","688","687793","*****","61414","*****","61962","3651","66141","3651","37535","*****","24550","*****","58845","*****","59008","*****","50602","*****","96116","*****","78090","*****","50852","*****","27035","*****","11617","871","4026","870"
"0500000US04015","Mohave County, Arizona","35269","*****","18445","800","1221","658","2134","432","696","432","814","450","705","571","1326","736","1821","706","1710","1102","2034","915","2164","928","1785","*****","1753","254","282","254","0","211","16824","801","1390","658","1125","493","1638","492","837","450","99","124","1925","429","970","412","1235","709","1824","727","1680","451","1829","*****","1738","324","534","324","0","211"
"0500000US04017","Navajo County, Arizona","12649","*****","6935","297","678","141","320","383","891","383","240","243","230","250","275","224","959","334","271","187","1255","277","599","292","639","242","270","209","147","150","161","224","5714","297","576","141","615","388","559","382","290","305","250","347","309","285","424","340","276","319","319","263","908","264","476","248","388","254","178","156","146","156"
"0500000US04019","Pima County, Arizona","390183","*****","191302","*****","16185","*****","14051","1337","18916","1337","9743","*****","7536","*****","19593","*****","16589","*****","13097","*****","24977","*****","19695","*****","15737","*****","9664","*****","4028","624","1491","624","198881","*****","15273","*****","14855","1610","16561","1610","9727","*****","7489","*****","19949","*****","15550","*****","12625","*****","26124","*****","22111","*****","18386","*****","11842","*****","6107","776","2282","776"
"0500000US04021","Pinal County, Arizona","136046","*****","73612","*****","5368","*****","4557","911","7622","911","3587","*****","2523","*****","6653","*****","7356","*****","6715","*****","11405","*****","7900","*****","5057","*****","3272","*****","1398","199","199","199","62434","*****","5211","*****","5606","1163","6181","1163","3385","*****","2104","*****","4583","*****","4697","*****","4540","*****","8839","*****","6459","*****","5259","*****","3505","*****","1558","390","507","390"
"0500000US04025","Yavapai County, Arizona","34046","*****","17234","321","1492","*****","1315","480","1812","480","649","321","347","366","1732","528","1223","619","1192","*****","1488","754","2695","754","1591","*****","1065","*****","587","81","46","81","16812","321","1300","*****","1409","618","1645","618","1126","321","997","590","1291","665","606","555","798","567","2035","721","2005","683","1729","*****","862","579","840","616","169","168"
"0500000US04027","Yuma County, Arizona","136425","*****","69202","*****","6063","*****","4957","1126","7215","1126","3549","*****","2556","*****","6974","*****","6291","*****","5266","*****","8334","*****","6866","*****","5580","*****","3300","*****","1898","318","353","318","67223","*****","5918","*****","5851","1039","5657","1040","3562","*****","2232","*****","5512","*****","5310","*****","4586","*****","8110","*****","7902","*****","6024","*****","3743","*****","2313","272","503","272"
"0500000US05007","Benton County, Arkansas","45975","*****","23610","*****","2292","*****","2110","549","2743","549","1319","*****","617","365","2119","365","1936","*****","1897","*****","3628","*****","2779","*****","1446","*****","279","243","150","182","295","243","22365","*****","2134","*****","1382","548","3251","547","1370","*****","801","*****","1901","*****","1866","*****","1649","*****","3290","*****","2604","*****","1306","*****","201","209","426","213","184","242"
"0500000US05119","Pulaski County, Arkansas","24521","*****","11933","536","377","429","2243","434","552","434","571","381","359","334","582","416","1748","630","1047","*****","1865","679","1367","679","308","348","914","348","0","201","0","201","12588","536","2534","429","1694","566","1347","495","157","193","749","567","259","274","1208","610","981","587","1544","562","1002","695","567","290","413","294","0","201","133","157"
"0500000US05131","Sebastian County, Arkansas","18659","*****","9528","259","1006","*****","768","337","1226","337","520","259","462","384","730","384","750","*****","797","420","1850","561","447","298","513","322","459","323","0","201","0","201","9131","259","978","*****","838","275","1148","275","575","259","372","234","653","315","890","365","766","495","889","501","1160","617","492","277","283","273","10","20","77","131"
"0500000US05143","Washington County, Arkansas","40606","*****","20975","445","2009","*****","2252","522","2388","522","1461","445","616","422","2169","422","1643","*****","1524","*****","3097","*****","2128","*****","1341","236","192","164","0","201","155","178","19631","445","1999","*****","2193","633","2228","633","1050","445","825","447","1890","447","1527","*****","1518","*****","2913","*****","1900","*****","1137","323","264","245","121","212","66","111"
"0500000US06001","Alameda County, California","373040","*****","188672","*****","15277","*****","14095","1414","16979","1414","8764","*****","5862","*****","14595","*****","16747","*****","16038","*****","29740","*****","24240","*****","15298","*****","7017","*****","3409","348","611","348","184368","*****","14461","*****","11465","1458","18358","1458","8522","*****","5864","*****","14845","*****","15921","*****","14625","*****","27467","*****","22481","*****","15821","*****","8346","*****","4443","586","1749","587"
"0500000US06007","Butte County, California","38528","*****","19587","*****","1503","*****","1147","537","2136","537","1000","*****","1422","565","1991","565","1856","*****","1434","*****","2405","*****","1878","*****","1498","*****","712","307","605","306","0","211","18941","*****","1484","*****","1700","526","1521","526","884","*****","1426","451","2204","451","1659","*****","1178","*****","2277","*****","1831","*****","1388","*****","995","218","354","223","40","63"
"0500000US06013","Contra Costa County, California","297255","*****","148861","*****","12269","*****","12307","1249","14465","1249","7771","*****","4794","*****","11638","*****","11671","*****","11399","*****","22657","*****","18924","*****","12265","*****","5535","*****","2115","504","1051","505","148394","*****","11687","*****","12513","1552","13214","1552","7535","*****","4626","*****","11499","*****","11132","*****","10858","*****","22176","*****","18354","*****","12984","*****","6802","*****","3841","549","1173","549"
"0500000US06017","El Dorado County, California","24640","*****","11931","320","804","313","742","400","1625","400","219","139","456","463","1252","749","635","599","380","405","2178","839","1437","672","1196","*****","919","128","88","128","0","211","12709","320","859","313","1142","784","1165","784","1060","139","0","211","1000","604","1058","604","603","320","1768","321","1565","*****","1369","*****","747","310","373","310","0","211"
"0500000US06019","Fresno County, California","531677","*****","268620","*****","25337","*****","26775","2543","26148","2542","14143","*****","8839","*****","22093","*****","22905","*****","20505","*****","35433","*****","28192","*****","20772","*****","11369","*****","4013","596","2096","596","263057","*****","24516","*****","25394","1972","25303","1972","13924","*****","8610","*****","21551","*****","21948","*****","18717","*****","34364","*****","27568","*****","20799","*****","12207","*****","5526","695","2630","696"
"0500000US06023","Humboldt County, California","16155","*****","8441","296","995","275","888","205","581","204","406","150","629","278","1208","270","342","268","785","453","1203","572","430","383","658","254","186","192","130","157","0","211","7714","296","467","275","798","507","554","507","337","150","739","297","1132","330","429","309","483","405","1406","400","386","260","490","199","186","183","140","175","167","166"
"0500000US06025","Imperial County, California","153757","*****","76911","*****","6893","*****","5503","1301","7699","1301","3833","*****","2561","*****","6160","*****","6710","*****","5920","*****","9533","*****","7859","*****","6793","*****","4312","*****","1924","753","1211","753","76846","*****","6706","*****","5748","1189","6983","1189","3610","*****","2253","*****","5356","*****","5611","*****","4848","*****","9069","*****","8741","*****","8043","*****","5457","*****","3630","484","791","484"
"0500000US06029","Kern County, California","483846","*****","250621","*****","23184","*****","20465","2169","28397","2169","13448","*****","8605","*****","21918","*****","23190","*****","20597","*****","34185","*****","25933","*****","17932","*****","8368","*****","3428","618","971","618","233225","*****","22315","*****","23131","2416","24778","2416","13225","*****","7906","*****","19608","*****","19512","*****","16893","*****","29793","*****","24323","*****","17318","*****","8995","*****","3506","721","1922","721"
