GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US01001,01001,"Autauga County, Alabama",1012,*****,518,94,58,46,88,47,41,37,27,32,29,26,20,25,47,30,34,25,72,44,72,44,25,37,5,8,0,119,0,119,494,94,77,46,34,30,47,44,43,53,43,40,6,9,51,41,16,20,99,50,56,42,0,119,22,26,0,119,0,119
0500000US01003,01003,"Baldwin County, Alabama",4989,*****,2643,173,480,165,269,98,199,98,82,46,39,30,184,30,217,*****,254,*****,371,*****,247,*****,89,56,89,72,104,75,19,33,2346,173,338,165,371,97,201,92,39,35,47,62,126,96,205,87,160,*****,346,121,221,121,135,68,38,40,92,63,27,42
0500000US01005,01005,"Barbour County, Alabama",1262,*****,833,80,205,51,35,30,48,57,9,17,70,66,95,51,48,30,137,63,170,63,0,119,11,18,0,119,5,8,0,119,429,80,135,51,43,23,39,40,6,9,20,24,56,25,37,34,43,25,25,36,21,28,0,119,0,119,4,6,0,119
0500000US01007,01007,"Bibb County, Alabama",190,212,109,104,0,119,18,30,0,119,22,37,0,119,0,119,27,44,36,59,0,119,0,119,6,10,0,119,0,119,0,119,81,119,32,47,25,39,0,119,0,119,0,119,0,119,24,37,0,119,0,119,0,119,0,119,0,119,0,119,0,119
0500000US01009,01009,"Blount County, Alabama",4134,*****,2300,177,337,*****,308,92,165,92,212,172,38,34,196,34,213,*****,229,*****,359,101,221,101,0,119,0,119,22,35,0,119,1834,177,335,*****,200,96,243,117,8,10,77,53,184,58,88,66,102,63,275,109,168,94,115,67,24,37,15,25,0,119
0500000US01011,01011,"Bullock County, Alabama",252,243,76,86,28,38,18,30,0,119,0,119,0,119,0,119,19,38,0,119,0,119,11,17,0,119,0,119,0,119,0,119,176,168,125,115,23,38,0,119,0,119,0,119,0,119,28,34,0,119,0,119,0,119,0,119,0,119,0,119,0,119
0500000US01013,01013,"Butler County, Alabama",74,109,38,57,0,119,0,119,24,35,0,119,0,119,0,119,0,119,0,119,14,23,0,119,0,119,0,119,0,119,0,119,36,54,0,119,0,119,16,25,0,119,0,119,0,119,0,119,0,119,20,29,0,119,0,119,0,119,0,119,0,119
0500000US01015,01015,"Calhoun County, Alabama",2725,*****,1375,33,214,*****,222,38,51,38,26,33,31,41,70,51,164,56,109,67,266,96,113,68,58,34,22,19,29,40,0,119,1350,33,206,*****,122,80,181,92,85,91,18,18,130,18,130,*****,95,62,169,74,96,67,76,33,6,10,29,41,7,10
0500000US01017,01017,"Chambers County, Alabama",462,*****,211,64,21,44,0,119,22,41,0,119,0,119,68,73,31,41,22,36,8,16,0,119,0,119,39,40,0,119,0,119,251,63,123,73,0,119,0,119,0,119,0,119,26,29,23,34,40,69,39,63,0,119,0,119,0,119,0,119,0,119
0500000US01019,01019,"Cherokee County, Alabama",293,*****,185,62,0,119,26,33,25,32,0,119,0,119,0,119,15,22,0,119,0,119,45,63,24,35,50,51,0,119,0,119,108,62,0,119,11,19,0,119,28,39,0,119,19,27,0,119,0,119,0,119,35,42,11,17,4,9,0,119,0,119
0500000US01021,01021,"Chilton County, Alabama",1978,*****,1131,76,108,66,100,47,77,47,50,23,25,24,92,24,148,*****,162,*****,286,74,58,74,13,21,12,21,0,119,0,119,847,76,222,67,87,57,71,58,24,23,46,35,54,36,38,28,66,48,166,73,25,21,48,33,0,119,0,119,0,119
0500000US01023,01023,"Choctaw County, Alabama",84,128,27,35,16,31,11,20,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,57,98,0,119,0,119,20,34,0,119,0,119,18,32,0,119,0,119,0,119,19,35,0,119,0,119,0,119,0,119
0500000US01025,01025,"Clarke County, Alabama",144,136,45,51,6,11,0,119,0,119,0,119,0,119,0,119,30,49,0,119,9,17,0,119,0,119,0,119,0,119,0,119,99,119,0,119,0,119,0,119,10,18,0,119,0,119,0,119,0,119,89,116,0,119,0,119,0,119,0,119,0,119
0500000US01027,01027,"Clay County, Alabama",366,*****,183,59,44,37,0,119,7,12,9,13,0,119,23,35,1,6,20,26,21,37,12,18,39,47,7,15,0,119,0,119,183,58,8,13,10,17,37,36,0,119,0,119,0,119,23,34,37,49,12,20,56,47,0,119,0,119,0,119,0,119
0500000US01029,01029,"Cleburne County, Alabama",142,151,119,118,0,119,15,23,0,119,0,119,0,119,52,63,23,37,0,119,0,119,17,22,0,119,12,21,0,119,0,119,23,37,0,119,0,119,0,119,15,23,0,119,0,119,0,119,0,119,8,14,0,119,0,119,0,119,0,119,0,119
0500000US01031,01031,"Coffee County, Alabama",1931,*****,995,53,252,46,139,45,89,44,9,17,24,26,171,60,62,36,57,30,99,44,34,30,44,21,3,6,12,22,0,119,936,54,132,46,65,78,209,96,18,24,34,30,44,27,76,30,59,49,79,46,117,53,51,21,29,39,3,4,20,24
0500000US01033,01033,"Colbert County, Alabama",875,*****,536,47,56,23,133,57,20,23,31,37,37,36,78,43,80,33,0,119,52,48,28,33,9,14,9,13,3,5,0,119,339,47,61,24,37,43,6,10,0,119,0,119,39,36,68,46,23,26,42,31,28,29,0,119,9,13,10,15,16,25
0500000US01035,01035,"Conecuh County, Alabama",20,28,6,11,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,6,11,0,119,0,119,14,18,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,9,15,0,119,5,9,0,119
0500000US01037,01037,"Coosa County, Alabama",15,22,12,18,5,7,2,4,0,119,0,119,0,119,0,119,5,9,0,119,0,119,0,119,0,119,0,119,0,119,0,119,3,5,0,119,0,119,0,119,0,119,0,119,0,119,0,119,3,5,0,119,0,119,0,119,0,119,0,119,0,119
0500000US01039,01039,"Covington County, Alabama",403,*****,215,37,52,63,0,119,70,52,0,119,14,15,0,119,2,3,40,19,5,10,20,20,0,119,0,119,12,21,0,119,188,37,3,8,4,8,23,28,10,17,12,20,0,119,36,47,0,119,49,48,20,22,0,119,5,7,26,29,0,119
0500000US01041,01041,"Crenshaw County, Alabama",145,*****,119,42,0,119,0,119,6,13,7,12,0,119,35,18,28,22,29,22,14,11,0,119,0,119,0,119,0,119,0,119,26,42,0,119,6,13,0,119,0,119,0,119,0,119,0,119,0,119,7,14,0,119,4,10,9,19,0,119,0,119
