GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,VD60,VD61,VD62,VD63,VD64,VD65,VD66,VD67,VD68,VD69,VD70,VD71,VD72,VD73,VD74,VD75,VD76,VD77,VD78,VD79
Id,Id2,Geography,Total:,Male:,Male: - Under 1 year,Male: - 1 year,Male: - 2 years,Male: - 3 years,Male: - 4 years,Male: - 5 years,Male: - 6 years,Male: - 7 years,Male: - 8 years,Male: - 9 years,Male: - 10 years,Male: - 11 years,Male: - 12 years,Male: - 13 years,Male: - 14 years,Male: - 15 years,Male: - 16 years,Male: - 17 years,Male: - 18 years,Male: - 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 1 year,Female: - 1 year,Female: - 2 years,Female: - 3 years,Female: - 4 years,Female: - 5 years,Female: - 6 years,Female: - 7 years,Female: - 8 years,Female: - 9 years,Female: - 10 years,Female: - 11 years,Female: - 12 years,Female: - 13 years,Female: - 14 years,Female: - 15 years,Female: - 16 years,Female: - 17 years,Female: - 18 years,Female: - 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",3390,1720,42,29,22,15,50,19,33,37,57,15,27,15,10,28,46,31,25,44,16,0,18,43,95,130,116,185,117,151,91,51,25,22,18,11,38,30,5,13,1670,24,20,59,40,44,54,5,7,18,41,52,26,40,19,0,15,4,57,11,11,23,15,103,130,103,92,151,115,63,60,23,35,20,32,64,40,35,19
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",3148,1496,24,31,24,6,35,26,16,13,29,40,44,22,35,35,29,34,23,55,55,24,36,16,28,74,114,107,108,142,53,70,36,26,14,17,18,16,13,8,1652,24,12,0,31,40,42,28,63,19,38,9,41,50,16,27,0,17,8,9,27,6,17,71,116,122,94,176,119,102,66,55,21,11,28,49,27,54,17
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",5090,2398,33,25,32,28,52,33,73,26,26,36,56,24,43,72,44,52,52,51,53,26,43,26,65,130,142,151,241,177,139,115,15,69,42,61,55,49,34,7,2692,37,24,35,18,43,14,73,29,63,39,31,64,28,35,34,65,23,56,34,32,40,15,102,119,160,164,281,257,157,105,68,80,50,52,129,74,37,25
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",1818,866,8,20,22,9,17,24,21,14,16,19,23,23,21,35,14,29,18,14,15,5,23,0,43,40,35,73,51,46,26,23,23,18,11,8,49,14,8,8,952,6,16,6,21,23,0,4,12,6,27,47,13,25,19,19,29,9,14,16,26,0,0,29,46,40,99,64,93,48,38,27,11,14,14,35,12,22,22
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",3026,1370,28,11,15,20,24,22,42,38,17,32,19,42,12,26,12,30,8,19,12,38,38,6,38,79,77,88,155,78,86,11,55,44,12,25,53,34,15,9,1656,58,10,0,24,27,5,31,41,34,14,38,4,34,30,22,26,21,32,13,25,23,16,100,96,92,136,141,82,91,72,14,73,46,62,56,32,16,19
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",2405,1046,43,0,0,18,17,15,25,25,18,44,23,12,25,26,16,0,6,14,0,23,0,32,47,48,63,91,67,62,81,51,0,52,6,12,59,0,25,0,1359,31,0,12,15,7,4,14,32,0,35,25,17,5,13,16,37,21,25,29,20,24,17,52,65,60,111,104,91,98,86,30,32,37,31,54,31,31,47
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",2260,985,12,11,5,25,9,13,27,22,17,17,15,16,18,5,21,0,12,6,17,17,13,7,46,47,27,84,94,82,35,23,7,50,38,40,20,25,24,38,1275,19,12,23,32,7,21,0,6,29,32,10,8,23,11,32,29,35,21,0,42,12,5,67,65,87,82,98,81,48,75,38,26,36,20,63,37,30,13
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",2978,1335,30,27,27,6,30,46,21,17,32,32,24,27,38,33,56,33,16,30,31,38,10,10,22,68,44,64,130,84,73,44,19,27,19,19,45,6,30,27,1643,24,9,20,20,42,22,50,36,62,9,41,29,19,20,13,25,22,42,25,27,25,27,37,123,85,119,131,107,101,57,13,48,13,39,58,33,37,33
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",3673,1679,25,17,30,20,24,31,27,15,41,31,45,44,26,36,30,25,30,49,38,11,45,29,25,64,96,105,132,106,81,91,12,39,22,35,75,55,33,39,1994,16,21,9,34,19,17,37,11,32,42,31,32,14,51,23,19,30,41,15,33,40,8,42,85,116,127,172,140,106,51,32,97,32,52,120,93,105,49
